dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.875,0.8740903201149962,0.8738587424633936,0.8757844222960501,0.9624525003799969
beans,resnet18,imagenet,512,brkga features,282.0,,RandomForestClassifier,0.8828125,0.8831656212866448,0.8842347119123365,0.8831672203765226,0.9615703645799406
beans,resnet18,imagenet,512,random features,282.0,160.0,RandomForestClassifier,0.875,0.8746966475527781,0.8748923341946598,0.8755998523440383,0.9551961870019325
beans,resnet18,imagenet,512,random features,282.0,153.0,RandomForestClassifier,0.8125,0.8121295029639762,0.8113275613275613,0.8133997785160577,0.9548183614531084
beans,resnet18,imagenet,512,random features,282.0,160.0,RandomForestClassifier,0.84375,0.8436738107616745,0.8459193245778612,0.844407530454042,0.9521258115649361
beans,resnet18,imagenet,512,random features,282.0,161.0,RandomForestClassifier,0.84375,0.8441965291863872,0.8444541844995617,0.844407530454042,0.9538015981586433
beans,resnet18,imagenet,512,random features,282.0,156.0,RandomForestClassifier,0.8125,0.8125854993160054,0.8119232188999631,0.8133997785160577,0.954282022886674
beans,resnet18,imagenet,512,random features,282.0,158.0,RandomForestClassifier,0.8203125,0.8209425939050319,0.8217700258397932,0.8211517165005539,0.955281957744338
beans,resnet18,imagenet,512,random features,282.0,161.0,RandomForestClassifier,0.8515625,0.8512539899680802,0.8506493506493507,0.85234403839055,0.952077497665733
beans,resnet18,imagenet,512,random features,282.0,164.0,RandomForestClassifier,0.8671875,0.8676518883415435,0.8676046176046176,0.8678479143595421,0.9565978329316223
beans,resnet18,imagenet,512,random features,282.0,163.0,RandomForestClassifier,0.859375,0.8581446913834889,0.8587280599414067,0.8600959763750461,0.95140653160489
beans,resnet18,imagenet,512,random features,282.0,154.0,RandomForestClassifier,0.859375,0.859188326493388,0.858946608946609,0.8599114064230342,0.9475213341150415
beans,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.8671875,0.8672848449724717,0.8672438672438673,0.8674787744555186,0.963952402666493
beans,resnet34,imagenet,512,brkga features,288.0,,RandomForestClassifier,0.875,0.8737835875090777,0.8754872088682865,0.8754152823920265,0.9642678001433133
beans,resnet34,imagenet,512,random features,288.0,158.0,RandomForestClassifier,0.8359375,0.8362864525655223,0.8362864525655223,0.8362864525655223,0.9600514624454433
beans,resnet34,imagenet,512,random features,288.0,160.0,RandomForestClassifier,0.84375,0.8442898998679932,0.8448323278158787,0.8442229605020303,0.9591481553861856
beans,resnet34,imagenet,512,random features,288.0,157.0,RandomForestClassifier,0.8515625,0.8505937729412273,0.8557679630850363,0.8517903285345145,0.9630713525720366
beans,resnet34,imagenet,512,random features,288.0,163.0,RandomForestClassifier,0.8515625,0.8517788724685276,0.8517316017316018,0.8519748984865263,0.958156363320522
beans,resnet34,imagenet,512,random features,288.0,166.0,RandomForestClassifier,0.8359375,0.8344849516148439,0.8343175343175343,0.8364710225175341,0.9520221266801294
beans,resnet34,imagenet,512,random features,288.0,162.0,RandomForestClassifier,0.875,0.8735559878317477,0.8747833021288399,0.8754152823920265,0.9584109612837383
beans,resnet34,imagenet,512,random features,288.0,166.0,RandomForestClassifier,0.8359375,0.8334625322997417,0.8347448028299093,0.8364710225175341,0.9517040149393089
beans,resnet34,imagenet,512,random features,288.0,162.0,RandomForestClassifier,0.8359375,0.8352597119349522,0.8354542241074584,0.8361018826135105,0.9485223546783055
beans,resnet34,imagenet,512,random features,288.0,175.0,RandomForestClassifier,0.8359375,0.835698348951361,0.837186472928559,0.8361018826135105,0.9467542831085923
beans,resnet34,imagenet,512,random features,288.0,167.0,RandomForestClassifier,0.84375,0.8431962198714601,0.8435843054082715,0.8438538205980066,0.952170325494539
beans,mobilenet_v3_small,imagenet,576,all features,,,RandomForestClassifier,0.8671875,0.8679254417816509,0.8706128386979449,0.8672942045035068,0.9548123900723079
beans,mobilenet_v3_small,imagenet,576,brkga features,302.0,,RandomForestClassifier,0.8359375,0.8362293989681588,0.8388888888888889,0.8362864525655223,0.9548921894339131
