dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.859375,0.8591551563153997,0.8586732326097045,0.8600959763750461,0.9595265237878098
beans,resnet18,imagenet,512,brkga features,315.0,,RandomForestClassifier,0.8125,0.812767897856817,0.8122923588039866,0.8133997785160577,0.9403839055001845
beans,resnet18,imagenet,512,random features,315.0,200.0,RandomForestClassifier,0.8671875,0.8659938323521166,0.8662263662263662,0.8678479143595422,0.9635876055848697
beans,resnet18,imagenet,512,random features,315.0,197.0,RandomForestClassifier,0.859375,0.8579964699298291,0.8601079340209775,0.8602805463270579,0.9587127874405575
beans,resnet18,imagenet,512,random features,315.0,190.0,RandomForestClassifier,0.8203125,0.8199855699855699,0.8197573880500709,0.82078257659653,0.9548927322867131
beans,resnet18,imagenet,512,random features,315.0,199.0,RandomForestClassifier,0.8359375,0.8333333333333334,0.8341994168081124,0.8368401624215579,0.954937246216316
beans,resnet18,imagenet,512,random features,315.0,189.0,RandomForestClassifier,0.84375,0.8424849267872524,0.8447209298273127,0.8445921004060538,0.9566390897444249
beans,resnet18,imagenet,512,random features,315.0,188.0,RandomForestClassifier,0.8359375,0.8359173126614987,0.8358213444713728,0.8366555924695461,0.9467423403469915
beans,resnet18,imagenet,512,random features,315.0,200.0,RandomForestClassifier,0.8828125,0.8835105189536548,0.8840217260523557,0.8831672203765226,0.9671438342778972
beans,resnet18,imagenet,512,random features,315.0,200.0,RandomForestClassifier,0.796875,0.796625626994984,0.7961760461760462,0.7975267626430417,0.9421563198922981
beans,resnet18,imagenet,512,random features,315.0,193.0,RandomForestClassifier,0.828125,0.8297175159458138,0.8320910973084885,0.8283499446290143,0.9524292662801556
beans,resnet18,imagenet,512,random features,315.0,194.0,RandomForestClassifier,0.8515625,0.8516187870497035,0.8510520487264673,0.8523440383905502,0.9620936746791741
beans,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.8828125,0.8823006540999604,0.8825757575757575,0.8831672203765226,0.9695986146396542
beans,resnet34,imagenet,512,brkga features,324.0,,RandomForestClassifier,0.8515625,0.8514053897421037,0.8512994379415253,0.8519748984865263,0.9527886348337784
beans,resnet34,imagenet,512,random features,324.0,207.0,RandomForestClassifier,0.8984375,0.8982903506230078,0.8990321331784746,0.8986710963455149,0.961420537207131
beans,resnet34,imagenet,512,random features,324.0,215.0,RandomForestClassifier,0.84375,0.8408390547488827,0.8429951690821257,0.844592100406054,0.9509315354048596
beans,resnet34,imagenet,512,random features,324.0,199.0,RandomForestClassifier,0.8515625,0.8503025901718712,0.8518711424776687,0.8519748984865263,0.9614259657351312
beans,resnet34,imagenet,512,random features,324.0,202.0,RandomForestClassifier,0.8359375,0.8351013033939862,0.8360481126438573,0.8364710225175341,0.9586405880181531
beans,resnet34,imagenet,512,random features,324.0,213.0,RandomForestClassifier,0.8515625,0.8515051997810619,0.8513708513708513,0.8517903285345145,0.9522870388465464
