dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.875,0.8762697880678596,0.8777993109388458,0.8754152823920265,0.969485158404447
beans,resnet18,imagenet,512,brkga features,332.0,,RandomForestClassifier,0.84375,0.8427003925887995,0.8423772609819121,0.844407530454042,0.9491515210735457
beans,resnet18,imagenet,512,random features,332.0,219.0,RandomForestClassifier,0.875,0.8746966475527781,0.8748923341946598,0.8755998523440383,0.9604819447158707
beans,resnet18,imagenet,512,random features,332.0,216.0,RandomForestClassifier,0.8515625,0.8510566329489079,0.8508182601205857,0.85234403839055,0.9472048509326211
beans,resnet18,imagenet,512,random features,332.0,218.0,RandomForestClassifier,0.8359375,0.8355323738690879,0.8350392753398994,0.8364710225175341,0.9589635854341737
beans,resnet18,imagenet,512,random features,332.0,213.0,RandomForestClassifier,0.8671875,0.8678628165592001,0.8689393939393938,0.8672942045035068,0.9502725121056175
beans,resnet18,imagenet,512,random features,332.0,210.0,RandomForestClassifier,0.796875,0.7973421926910299,0.7973421926910299,0.7973421926910299,0.9602827177382581
beans,resnet18,imagenet,512,random features,332.0,208.0,RandomForestClassifier,0.8515625,0.8510977708744384,0.8532806962685012,0.8519748984865263,0.9506693375024428
beans,resnet18,imagenet,512,random features,332.0,224.0,RandomForestClassifier,0.8515625,0.8523293328171376,0.8544628956927868,0.8519748984865264,0.9575516253012833
beans,resnet18,imagenet,512,random features,332.0,207.0,RandomForestClassifier,0.8203125,0.8195207990475669,0.8189393939393939,0.8211517165005539,0.9549616745923176
beans,resnet18,imagenet,512,random features,332.0,223.0,RandomForestClassifier,0.84375,0.8434688818055958,0.8431693566407125,0.8442229605020303,0.9586384166069529
beans,resnet18,imagenet,512,random features,332.0,217.0,RandomForestClassifier,0.859375,0.8592604768995726,0.8598444680098974,0.8597268364710224,0.9620198466983693
beans,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.84375,0.8429461160148616,0.842721791559001,0.8442229605020303,0.9542212233730701
beans,resnet34,imagenet,512,brkga features,323.0,,RandomForestClassifier,0.8359375,0.8348630949311607,0.8352887852887853,0.8362864525655223,0.9527908062449786
beans,resnet34,imagenet,512,random features,323.0,208.0,RandomForestClassifier,0.8515625,0.8508323654665118,0.8522978203829267,0.8517903285345145,0.9662720126810415
beans,resnet34,imagenet,512,random features,323.0,206.0,RandomForestClassifier,0.8359375,0.8345705196182397,0.8372797837083551,0.8359173126614987,0.9456153779341193
beans,resnet34,imagenet,512,random features,323.0,212.0,RandomForestClassifier,0.859375,0.8590682249911459,0.858875195517283,0.8597268364710224,0.9606529433478818
beans,resnet34,imagenet,512,random features,323.0,209.0,RandomForestClassifier,0.84375,0.8432313846947993,0.8445951211908658,0.8442229605020303,0.9624872429591992
beans,resnet34,imagenet,512,random features,323.0,218.0,RandomForestClassifier,0.859375,0.8577461753932343,0.8606397094769189,0.8597268364710224,0.9609151412502985
beans,resnet34,imagenet,512,random features,323.0,199.0,RandomForestClassifier,0.8515625,0.8508458660753232,0.8512594893029676,0.8517903285345145,0.9581943630165245
beans,resnet34,imagenet,512,random features,323.0,197.0,RandomForestClassifier,0.84375,0.843288579799736,0.8429931762319738,0.8440383905500184,0.9487954096367229
beans,resnet34,imagenet,512,random features,323.0,199.0,RandomForestClassifier,0.8515625,0.8492173119785719,0.8526936026936028,0.8519748984865263,0.9593240396933967
beans,resnet34,imagenet,512,random features,323.0,209.0,RandomForestClassifier,0.8515625,0.8498668603243766,0.8512114030747329,0.8517903285345145,0.957404512192474
beans,resnet34,imagenet,512,random features,323.0,196.0,RandomForestClassifier,0.8203125,0.8192277129910015,0.8188845822566754,0.8205980066445182,0.9519618700193254
beans,resnet50,imagenet,2048,all features,,,RandomForestClassifier,0.875,0.8740785903925002,0.8754420636571666,0.8757844222960501,0.9733383275790937
beans,resnet50,imagenet,2048,brkga features,1323.0,,RandomForestClassifier,0.8671875,0.8656330749354005,0.8679143359994423,0.8678479143595421,0.9716033700301826
beans,resnet50,imagenet,2048,random features,1323.0,833.0,RandomForestClassifier,0.859375,0.8591700133868808,0.8605388341117454,0.8597268364710224,0.9703092089548999
beans,resnet50,imagenet,2048,random features,1323.0,848.0,RandomForestClassifier,0.859375,0.8579375613756784,0.8624206788658616,0.860095976375046,0.9680123987579528
beans,resnet50,imagenet,2048,random features,1323.0,862.0,RandomForestClassifier,0.875,0.8744397759103641,0.8782081500104756,0.8755998523440383,0.9809187240787788
beans,resnet50,imagenet,2048,random features,1323.0,841.0,RandomForestClassifier,0.8515625,0.8517376085400995,0.852639751552795,0.8521594684385382,0.9670363494234904
beans,resnet50,imagenet,2048,random features,1323.0,859.0,RandomForestClassifier,0.8671875,0.8672438672438672,0.8674280552329332,0.8676633444075303,0.973466983692702
beans,resnet50,imagenet,2048,random features,1323.0,865.0,RandomForestClassifier,0.875,0.8742728177523585,0.8794191919191919,0.8755998523440383,0.9741439211343451
beans,resnet50,imagenet,2048,random features,1323.0,850.0,RandomForestClassifier,0.875,0.8748923341946598,0.8788401554359001,0.8755998523440383,0.9756117951056392
beans,resnet50,imagenet,2048,random features,1323.0,851.0,RandomForestClassifier,0.8984375,0.8976966342866725,0.8996101364522416,0.8990402362495385,0.9716951121533883
beans,resnet50,imagenet,2048,random features,1323.0,846.0,RandomForestClassifier,0.8671875,0.8669113622460478,0.8666271335017789,0.8676633444075303,0.9758946214144572
beans,resnet50,imagenet,2048,random features,1323.0,856.0,RandomForestClassifier,0.90625,0.9059669296481548,0.9071872571872572,0.9067921742340347,0.9770845547521335
beans,resnet101,imagenet,2048,all features,,,RandomForestClassifier,0.859375,0.8607789259130255,0.8632090132090132,0.8595422665190107,0.9679320565435475
beans,resnet101,imagenet,2048,brkga features,1295.0,,RandomForestClassifier,0.8828125,0.8837833626188211,0.88567977915804,0.8829826504245109,0.9739501226847329
beans,resnet101,imagenet,2048,random features,1295.0,803.0,RandomForestClassifier,0.8828125,0.8830644901638817,0.8831168831168831,0.8831672203765226,0.9731944715870845
beans,resnet101,imagenet,2048,random features,1295.0,814.0,RandomForestClassifier,0.890625,0.8913955207205349,0.8927217915590008,0.890734588409007,0.9722303650142227
beans,resnet101,imagenet,2048,random features,1295.0,813.0,RandomForestClassifier,0.859375,0.8606060606060607,0.8639376218323586,0.8593576965669989,0.9693369595900375
beans,resnet101,imagenet,2048,random features,1295.0,818.0,RandomForestClassifier,0.8671875,0.8677264524551024,0.8681397067670465,0.8674787744555186,0.9687137645755977
beans,resnet101,imagenet,2048,random features,1295.0,826.0,RandomForestClassifier,0.8671875,0.8678268630075859,0.870316554229372,0.8672942045035068,0.9691757323084272
beans,resnet101,imagenet,2048,random features,1295.0,818.0,RandomForestClassifier,0.84375,0.8456971888587542,0.8497156923930379,0.8438538205980066,0.9685367945627864
beans,resnet101,imagenet,2048,random features,1295.0,833.0,RandomForestClassifier,0.890625,0.8905606374132162,0.8914810887239307,0.890734588409007,0.9711272881245522
beans,resnet101,imagenet,2048,random features,1295.0,815.0,RandomForestClassifier,0.8515625,0.8535463568143307,0.8572727508897721,0.8517903285345145,0.9706750917421232
beans,resnet101,imagenet,2048,random features,1295.0,837.0,RandomForestClassifier,0.8515625,0.8526809724865783,0.8533663349318482,0.8521594684385382,0.9694091590124422
beans,resnet101,imagenet,2048,random features,1295.0,808.0,RandomForestClassifier,0.875,0.8764879943251969,0.8805555555555555,0.8752307124400147,0.9702750092284976
beans,resnet152,imagenet,2048,all features,,,RandomForestClassifier,0.8671875,0.8669505742676474,0.868444040823387,0.8672942045035068,0.9657872451306103
beans,resnet152,imagenet,2048,brkga features,1330.0,,RandomForestClassifier,0.8515625,0.8511717673007996,0.8579894179894181,0.8512366186784792,0.9633167220376522
beans,resnet152,imagenet,2048,random features,1330.0,849.0,RandomForestClassifier,0.84375,0.8448197892642337,0.8484208880550345,0.8440383905500184,0.961640935443945
beans,resnet152,imagenet,2048,random features,1330.0,864.0,RandomForestClassifier,0.8359375,0.8367918441089173,0.8390373637778931,0.8362864525655223,0.9621881310663799
beans,resnet152,imagenet,2048,random features,1330.0,860.0,RandomForestClassifier,0.875,0.8753373210264872,0.8762919896640827,0.8750461424880029,0.9752410266432153
beans,resnet152,imagenet,2048,random features,1330.0,873.0,RandomForestClassifier,0.84375,0.8445378151260504,0.8485275689223056,0.8438538205980066,0.964735739256943
beans,resnet152,imagenet,2048,random features,1330.0,854.0,RandomForestClassifier,0.828125,0.8281972704541026,0.8305555555555556,0.8285345145810261,0.9627624693288168
beans,resnet152,imagenet,2048,random features,1330.0,870.0,RandomForestClassifier,0.8984375,0.8989664082687338,0.9024627377449065,0.8981173864894795,0.9732693852734893
beans,resnet152,imagenet,2048,random features,1330.0,873.0,RandomForestClassifier,0.859375,0.8609945642621533,0.8668334031706125,0.8591731266149871,0.9643839706425205
beans,resnet152,imagenet,2048,random features,1330.0,853.0,RandomForestClassifier,0.8515625,0.8527195027195028,0.8590228526398739,0.8512366186784792,0.9693293596508372
beans,resnet152,imagenet,2048,random features,1330.0,853.0,RandomForestClassifier,0.859375,0.8601999813101578,0.8613636363636363,0.8595422665190107,0.9714052287581699
beans,resnet152,imagenet,2048,random features,1330.0,869.0,RandomForestClassifier,0.828125,0.8291844246416118,0.8323798627002289,0.8281653746770026,0.9636788048552755
beans,mobilenet_v3_small,imagenet,576,all features,,,RandomForestClassifier,0.828125,0.8286528286528286,0.831743798207213,0.8283499446290143,0.9537071417714372
beans,mobilenet_v3_small,imagenet,576,brkga features,361.0,,RandomForestClassifier,0.8359375,0.8359173126614987,0.8358213444713728,0.8366555924695461,0.948047358478275
beans,mobilenet_v3_small,imagenet,576,random features,361.0,224.0,RandomForestClassifier,0.8359375,0.8357689720895353,0.8363699102829538,0.8364710225175341,0.9540355677154583
beans,mobilenet_v3_small,imagenet,576,random features,361.0,233.0,RandomForestClassifier,0.8046875,0.8041139393548594,0.8046070882269062,0.8054632705795496,0.9491439211343452
beans,mobilenet_v3_small,imagenet,576,random features,361.0,226.0,RandomForestClassifier,0.7890625,0.7887548052026189,0.7889406487232574,0.7897748246585455,0.9537988838946431
beans,mobilenet_v3_small,imagenet,576,random features,361.0,221.0,RandomForestClassifier,0.828125,0.8267451640033642,0.8265734265734266,0.82890365448505,0.9511926476016764
beans,mobilenet_v3_small,imagenet,576,random features,361.0,231.0,RandomForestClassifier,0.84375,0.8435020519835841,0.843073593073593,0.844407530454042,0.950657394740842
beans,mobilenet_v3_small,imagenet,576,random features,361.0,229.0,RandomForestClassifier,0.8203125,0.8200264013651437,0.8197115797796455,0.8207825765965301,0.9545203352658893
beans,mobilenet_v3_small,imagenet,576,random features,361.0,235.0,RandomForestClassifier,0.84375,0.8433001107419712,0.8428169958232351,0.8444075304540423,0.9555875838707576
beans,mobilenet_v3_small,imagenet,576,random features,361.0,231.0,RandomForestClassifier,0.8515625,0.8510447857303841,0.8510259388308169,0.8521594684385382,0.9525117799057607
beans,mobilenet_v3_small,imagenet,576,random features,361.0,219.0,RandomForestClassifier,0.828125,0.8272964808501131,0.8314912280701755,0.8285345145810261,0.9484186697934988
beans,mobilenet_v3_small,imagenet,576,random features,361.0,228.0,RandomForestClassifier,0.84375,0.8430696858538136,0.8433031869078381,0.8442229605020303,0.943702907519597
beans,mobilenet_v3_large,imagenet,960,all features,,,RandomForestClassifier,0.90625,0.9069752441399951,0.908961408961409,0.9062384643779993,0.9809485809827807
beans,mobilenet_v3_large,imagenet,960,brkga features,628.0,,RandomForestClassifier,0.8828125,0.8831168831168831,0.8834946444702542,0.8833517903285344,0.9843864677654007
beans,mobilenet_v3_large,imagenet,960,random features,628.0,415.0,RandomForestClassifier,0.8671875,0.8681139242682067,0.8695736434108529,0.8672942045035068,0.9721331943630164
beans,mobilenet_v3_large,imagenet,960,random features,628.0,404.0,RandomForestClassifier,0.890625,0.891262456938151,0.8917736640368518,0.8909191583610188,0.9799643888563178
beans,mobilenet_v3_large,imagenet,960,random features,628.0,414.0,RandomForestClassifier,0.8515625,0.8527993109388459,0.8566108492408656,0.8516057585825028,0.9747502877119839
beans,mobilenet_v3_large,imagenet,960,random features,628.0,406.0,RandomForestClassifier,0.875,0.8759558336162439,0.8807395403140085,0.8748615725359912,0.9809127526979783
beans,mobilenet_v3_large,imagenet,960,random features,628.0,407.0,RandomForestClassifier,0.890625,0.8913955207205349,0.8927217915590008,0.890734588409007,0.9792217662258702
beans,mobilenet_v3_large,imagenet,960,random features,628.0,412.0,RandomForestClassifier,0.859375,0.8602658407536455,0.8625929769935997,0.8597268364710224,0.9730088159294725
beans,mobilenet_v3_large,imagenet,960,random features,628.0,414.0,RandomForestClassifier,0.875,0.8769810508182602,0.8815463944373553,0.8750461424880029,0.9729273880094674
beans,mobilenet_v3_large,imagenet,960,random features,628.0,410.0,RandomForestClassifier,0.8984375,0.8992424242424243,0.9023391812865498,0.8983019564414914,0.9795621349314919
beans,mobilenet_v3_large,imagenet,960,random features,628.0,401.0,RandomForestClassifier,0.859375,0.8606060606060605,0.8639376218323586,0.8593576965669989,0.9786778277202354
beans,mobilenet_v3_large,imagenet,960,random features,628.0,415.0,RandomForestClassifier,0.8671875,0.8681397067670465,0.8694659776055125,0.8674787744555186,0.9758723644496557
beans,maxvit_t,imagenet,512,all features,,,RandomForestClassifier,0.796875,0.7962396350367326,0.8003418803418804,0.7971576227390181,0.9438000781708031
beans,maxvit_t,imagenet,512,brkga features,346.0,,RandomForestClassifier,0.8125,0.8116266449599783,0.8137531328320802,0.813030638612034,0.943076998241157
beans,maxvit_t,imagenet,512,random features,346.0,225.0,RandomForestClassifier,0.828125,0.8274087528109324,0.8335055643879175,0.8285345145810261,0.9450888107180857
beans,maxvit_t,imagenet,512,random features,346.0,239.0,RandomForestClassifier,0.8203125,0.8213507625272332,0.8240719091782921,0.8205980066445182,0.9521768397281393
beans,maxvit_t,imagenet,512,random features,346.0,230.0,RandomForestClassifier,0.828125,0.8291938997821351,0.8320084171148001,0.8283499446290143,0.9455589212429157
beans,maxvit_t,imagenet,512,random features,346.0,234.0,RandomForestClassifier,0.796875,0.7973530217787306,0.798567977915804,0.7971576227390181,0.9543069941154756
beans,maxvit_t,imagenet,512,random features,346.0,233.0,RandomForestClassifier,0.8125,0.8128514056224899,0.8144654903995848,0.813030638612034,0.9504326536816277
beans,maxvit_t,imagenet,512,random features,346.0,235.0,RandomForestClassifier,0.8203125,0.8207252548715963,0.8225739491437468,0.8205980066445182,0.9491862636527478
beans,maxvit_t,imagenet,512,random features,346.0,243.0,RandomForestClassifier,0.828125,0.8293542343457262,0.8308139534883722,0.8285345145810262,0.9512024189520769
beans,maxvit_t,imagenet,512,random features,346.0,237.0,RandomForestClassifier,0.8203125,0.8211693775893476,0.8227743271221533,0.8205980066445183,0.9408822443706164
beans,maxvit_t,imagenet,512,random features,346.0,231.0,RandomForestClassifier,0.7734375,0.7733154841588578,0.7744464625497319,0.7739018087855297,0.9410988426378304
beans,maxvit_t,imagenet,512,random features,346.0,247.0,RandomForestClassifier,0.8046875,0.8053813395276811,0.8073516692613735,0.805094130675526,0.945250580852496
brain_tumor,resnet18,imagenet,512,all features,,,RandomForestClassifier,0.8096446700507615,0.7860618190099149,0.8557686335403726,0.8049206815511164,0.9822272228579161
brain_tumor,resnet18,imagenet,512,brkga features,317.0,,RandomForestClassifier,0.8096446700507615,0.7882861745079447,0.8520832001832145,0.8052467685076381,0.9836248111747055
brain_tumor,resnet18,imagenet,512,random features,317.0,189.0,RandomForestClassifier,0.817258883248731,0.7958870068262442,0.8600742173799907,0.81713866039953,0.981205040756808
brain_tumor,resnet18,imagenet,512,random features,317.0,189.0,RandomForestClassifier,0.8121827411167513,0.7925600032899736,0.8276300967698186,0.8080728554641599,0.9757334315855238
brain_tumor,resnet18,imagenet,512,random features,317.0,199.0,RandomForestClassifier,0.817258883248731,0.7918299947870501,0.8545156754073951,0.8168125734430083,0.9834263999444974
brain_tumor,resnet18,imagenet,512,random features,317.0,196.0,RandomForestClassifier,0.7893401015228426,0.7610228461729951,0.8079438703422442,0.782611633372503,0.9790377104748701
brain_tumor,resnet18,imagenet,512,random features,317.0,199.0,RandomForestClassifier,0.8020304568527918,0.7790457276825836,0.8201209840211772,0.7933548766157462,0.9791639605945938
brain_tumor,resnet18,imagenet,512,random features,317.0,198.0,RandomForestClassifier,0.8223350253807107,0.804041889482307,0.8504829021108091,0.8203819036427732,0.9768091734739155
brain_tumor,resnet18,imagenet,512,random features,317.0,199.0,RandomForestClassifier,0.799492385786802,0.7748112519664243,0.8209976281170687,0.7952467685076381,0.9794196230396717
brain_tumor,resnet18,imagenet,512,random features,317.0,195.0,RandomForestClassifier,0.8020304568527918,0.7761192911999254,0.8287401152983608,0.7974206815511163,0.9787849023504693
brain_tumor,resnet18,imagenet,512,random features,317.0,189.0,RandomForestClassifier,0.8096446700507615,0.7865769941565098,0.8499929676511955,0.8082079905992949,0.9880410565771172
brain_tumor,resnet18,imagenet,512,random features,317.0,205.0,RandomForestClassifier,0.8020304568527918,0.7757624444886803,0.8099465744814582,0.7980728554641598,0.977906485704834
brain_tumor,resnet34,imagenet,512,all features,,,RandomForestClassifier,0.8020304568527918,0.7755799755799756,0.8607394543441056,0.8000558166862515,0.9765798239793071
brain_tumor,resnet34,imagenet,512,brkga features,319.0,,RandomForestClassifier,0.7969543147208121,0.7702654187808943,0.8283079724945535,0.7924206815511163,0.9750682773024316
brain_tumor,resnet34,imagenet,512,random features,319.0,203.0,RandomForestClassifier,0.8020304568527918,0.7779592492502568,0.8295798737361242,0.7974206815511163,0.976152116797419
brain_tumor,resnet34,imagenet,512,random features,319.0,196.0,RandomForestClassifier,0.8121827411167513,0.7898340383327572,0.8331188615847387,0.8074206815511163,0.9750825625443688
brain_tumor,resnet34,imagenet,512,random features,319.0,195.0,RandomForestClassifier,0.8045685279187818,0.7799029098944471,0.8208849105473185,0.7999206815511164,0.9777586272503718
brain_tumor,resnet34,imagenet,512,random features,319.0,202.0,RandomForestClassifier,0.817258883248731,0.7984661868554151,0.8459344365047959,0.8153819036427732,0.9787438419191278
brain_tumor,resnet34,imagenet,512,random features,319.0,200.0,RandomForestClassifier,0.7918781725888325,0.7647446888345673,0.8154604976905568,0.787746768507638,0.9703179732748302
brain_tumor,resnet34,imagenet,512,random features,319.0,199.0,RandomForestClassifier,0.8045685279187818,0.7824213286247041,0.8470449423425603,0.7999206815511164,0.9810714217118323
brain_tumor,resnet34,imagenet,512,random features,319.0,204.0,RandomForestClassifier,0.799492385786802,0.7709431611213239,0.8180897422934215,0.7949206815511164,0.9754119393874547
brain_tumor,resnet34,imagenet,512,random features,319.0,200.0,RandomForestClassifier,0.8020304568527918,0.7747094939854546,0.8137879629988669,0.797746768507638,0.9821347740437023
brain_tumor,resnet34,imagenet,512,random features,319.0,202.0,RandomForestClassifier,0.799492385786802,0.7699917353173804,0.8081105881767893,0.7949206815511164,0.9761954907688354
brain_tumor,resnet34,imagenet,512,random features,319.0,202.0,RandomForestClassifier,0.8071065989847716,0.7812773230838257,0.8371946942052999,0.8024206815511163,0.9728371501198187
