dataset,n_classes,n_samples,model,n_features_model,weights,time_elapsed_seconds_feature_extraction,brkga_n_elites,brkga_n_offsprings,brkga_n_mutants,brkga_bias,time_elapsed_seconds_brkga,stop_criterion_n_gen,brkga_fitness_function,brkga_best_solution_fitness,brkga_threshold_decoding,brkga_n_selected_features,file_with_brkga_history,file_with_brkga_best_solution
beans,3,1167,resnet18,512,imagenet,5.490619897842407,128,307,76,0.7,1759.7581560611725,50,negative_log_likelihood,0.09152246326690128,0.3,332,./log/history/beans_resnet18_imagenet.csv,"./log/best_solutions.csv, column_name: beans_resnet18_imagenet"
beans,3,1167,resnet34,512,imagenet,3.2948622703552246,128,307,76,0.7,1391.087898015976,50,negative_log_likelihood,0.07834331910948782,0.3,323,./log/history/beans_resnet34_imagenet.csv,"./log/best_solutions.csv, column_name: beans_resnet34_imagenet"
beans,3,1167,resnet50,2048,imagenet,3.4110333919525146,512,1228,307,0.7,139789.08627152443,50,negative_log_likelihood,0.1455703177094923,0.3,1323,./log/history/beans_resnet50_imagenet.csv,"./log/best_solutions.csv, column_name: beans_resnet50_imagenet"
beans,3,1167,resnet101,2048,imagenet,4.673406600952148,512,1228,307,0.7,140428.85535025597,50,negative_log_likelihood,0.08846446907895807,0.3,1295,./log/history/beans_resnet101_imagenet.csv,"./log/best_solutions.csv, column_name: beans_resnet101_imagenet"
beans,3,1167,resnet152,2048,imagenet,6.497238874435425,512,1228,307,0.7,310648.47912335396,50,negative_log_likelihood,0.08231984853891346,0.3,1330,./log/history/beans_resnet152_imagenet.csv,"./log/best_solutions.csv, column_name: beans_resnet152_imagenet"
beans,3,1167,mobilenet_v3_small,576,imagenet,3.544677972793579,144,345,86,0.7,1458.8992018699646,50,negative_log_likelihood,0.1572933406879366,0.3,361,./log/history/beans_mobilenet_v3_small_imagenet.csv,"./log/best_solutions.csv, column_name: beans_mobilenet_v3_small_imagenet"
beans,3,1167,mobilenet_v3_large,960,imagenet,3.2155373096466064,240,576,144,0.7,17284.692977905273,50,negative_log_likelihood,0.08679466154118518,0.3,628,./log/history/beans_mobilenet_v3_large_imagenet.csv,"./log/best_solutions.csv, column_name: beans_mobilenet_v3_large_imagenet"
beans,3,1167,maxvit_t,512,imagenet,7.843184471130371,128,307,76,0.7,460.66543412208557,50,negative_log_likelihood,0.2077123336428773,0.3,346,./log/history/beans_maxvit_t_imagenet.csv,"./log/best_solutions.csv, column_name: beans_maxvit_t_imagenet"
brain_tumor,4,2870,resnet18,512,imagenet,15.9529447555542,128,307,76,0.7,36156.60416030884,50,negative_log_likelihood,0.2696557634263569,0.3,317,./log/history/brain_tumor_resnet18_imagenet.csv,"./log/best_solutions.csv, column_name: brain_tumor_resnet18_imagenet"
brain_tumor,4,2870,resnet34,512,imagenet,12.499367713928223,128,307,76,0.7,40414.72808885574,50,negative_log_likelihood,0.23934039377448177,0.3,319,./log/history/brain_tumor_resnet34_imagenet.csv,"./log/best_solutions.csv, column_name: brain_tumor_resnet34_imagenet"
