n_evaluations,fitness_history
511.000000,0.011097
894.000000,0.011097
1277.000000,0.011077
1660.000000,0.010766
2043.000000,0.010430
2426.000000,0.010179
2809.000000,0.009815
3192.000000,0.009725
3575.000000,0.009449
3958.000000,0.009174
4341.000000,0.008976
4724.000000,0.008831
5107.000000,0.008730
5490.000000,0.008590
5873.000000,0.008307
6256.000000,0.008024
6639.000000,0.008024
7022.000000,0.007941
7405.000000,0.007883
7788.000000,0.007650
8171.000000,0.007610
8554.000000,0.007388
8937.000000,0.007388
9320.000000,0.007124
9703.000000,0.007124
10086.000000,0.006935
10469.000000,0.006890
10852.000000,0.006822
11235.000000,0.006803
11618.000000,0.006693
12001.000000,0.006614
12384.000000,0.006545
12767.000000,0.006531
13150.000000,0.006489
13533.000000,0.006301
13916.000000,0.006301
14299.000000,0.006230
14682.000000,0.006230
15065.000000,0.006230
15448.000000,0.006116
15831.000000,0.006116
16214.000000,0.006087
16597.000000,0.005985
16980.000000,0.005985
17363.000000,0.005831
17746.000000,0.005831
18129.000000,0.005813
18512.000000,0.005813
18895.000000,0.005725
19278.000000,0.005725
19661.000000,0.005725
20044.000000,0.005668
20427.000000,0.005652
20810.000000,0.005640
21193.000000,0.005640
21576.000000,0.005545
21959.000000,0.005545
22342.000000,0.005505
22725.000000,0.005505
23108.000000,0.005505
23491.000000,0.005488
23874.000000,0.005460
24257.000000,0.005425
24640.000000,0.005383
25023.000000,0.005383
25406.000000,0.005275
25789.000000,0.005275
26172.000000,0.005253
26555.000000,0.005253
26938.000000,0.005253
27321.000000,0.005253
27704.000000,0.005253
28087.000000,0.005253
28470.000000,0.005253
28853.000000,0.005253
29236.000000,0.005253
29619.000000,0.005161
30002.000000,0.005161
30385.000000,0.005161
30768.000000,0.005161
31151.000000,0.005161
31534.000000,0.005161
31917.000000,0.005161
32300.000000,0.005161
32683.000000,0.005161
33066.000000,0.005161
33449.000000,0.005005
33832.000000,0.005005
34215.000000,0.005005
34598.000000,0.005005
34981.000000,0.005005
35364.000000,0.005005
35747.000000,0.005005
36130.000000,0.005005
36513.000000,0.005005
36896.000000,0.005005
37279.000000,0.005005
37662.000000,0.005005
38045.000000,0.005005
38428.000000,0.005005
38811.000000,0.005005
39194.000000,0.005005
39577.000000,0.005005
39960.000000,0.005005
40343.000000,0.005005
40726.000000,0.005005
41109.000000,0.005005
41492.000000,0.005005
41875.000000,0.005005
42258.000000,0.005005
42641.000000,0.005005
43024.000000,0.005005
43407.000000,0.005005
43790.000000,0.005005
44173.000000,0.005005
44556.000000,0.005005
44939.000000,0.005005
45322.000000,0.005005
45705.000000,0.005005
46088.000000,0.005005
46471.000000,0.005005
46854.000000,0.005005
47237.000000,0.005005
47620.000000,0.005005
48003.000000,0.004971
48386.000000,0.004971
48769.000000,0.004971
49152.000000,0.004946
49535.000000,0.004946
49918.000000,0.004946
50301.000000,0.004946
50684.000000,0.004946
51067.000000,0.004892
51450.000000,0.004892
51833.000000,0.004892
52216.000000,0.004892
52599.000000,0.004892
52982.000000,0.004892
53365.000000,0.004892
53748.000000,0.004892
54131.000000,0.004892
54514.000000,0.004827
54897.000000,0.004827
55280.000000,0.004827
55663.000000,0.004827
56046.000000,0.004827
56429.000000,0.004827
56812.000000,0.004827
57195.000000,0.004827
57578.000000,0.004827
