n_evaluations,fitness_history
511.000000,0.270660
894.000000,0.270184
1277.000000,0.266294
1660.000000,0.258766
2043.000000,0.258766
2426.000000,0.258766
2809.000000,0.256618
3192.000000,0.251207
3575.000000,0.251207
3958.000000,0.251207
4341.000000,0.248977
4724.000000,0.246613
5107.000000,0.245416
5490.000000,0.243233
5873.000000,0.243233
6256.000000,0.241222
6639.000000,0.240323
7022.000000,0.239416
7405.000000,0.237671
7788.000000,0.236942
8171.000000,0.234440
8554.000000,0.234109
8937.000000,0.230740
9320.000000,0.230740
9703.000000,0.229986
10086.000000,0.228368
10469.000000,0.226520
10852.000000,0.226520
11235.000000,0.224865
11618.000000,0.223319
12001.000000,0.222520
12384.000000,0.222122
12767.000000,0.220423
13150.000000,0.220423
13533.000000,0.219349
13916.000000,0.215927
14299.000000,0.215927
14682.000000,0.215927
15065.000000,0.215927
15448.000000,0.213697
15831.000000,0.213592
16214.000000,0.212458
16597.000000,0.211025
16980.000000,0.211025
17363.000000,0.210983
17746.000000,0.209381
18129.000000,0.209381
18512.000000,0.209381
18895.000000,0.208555
19278.000000,0.208039
19661.000000,0.208039
20044.000000,0.207280
20427.000000,0.206849
20810.000000,0.206253
21193.000000,0.205727
21576.000000,0.204638
21959.000000,0.204523
22342.000000,0.204494
22725.000000,0.203887
23108.000000,0.202779
23491.000000,0.202779
23874.000000,0.202624
24257.000000,0.202624
24640.000000,0.201740
25023.000000,0.200612
25406.000000,0.200612
25789.000000,0.200612
26172.000000,0.200612
26555.000000,0.200014
26938.000000,0.200014
27321.000000,0.198868
27704.000000,0.198868
28087.000000,0.198868
28470.000000,0.198512
28853.000000,0.198512
29236.000000,0.197723
29619.000000,0.197677
30002.000000,0.197157
30385.000000,0.196445
30768.000000,0.196445
31151.000000,0.196379
31534.000000,0.196379
31917.000000,0.196251
32300.000000,0.195492
32683.000000,0.195492
33066.000000,0.195241
33449.000000,0.195241
33832.000000,0.194984
34215.000000,0.194984
34598.000000,0.194448
34981.000000,0.194387
35364.000000,0.194036
35747.000000,0.193729
36130.000000,0.193729
36513.000000,0.192674
36896.000000,0.192674
37279.000000,0.192350
37662.000000,0.192350
38045.000000,0.192063
38428.000000,0.192063
38811.000000,0.191983
39194.000000,0.191983
39577.000000,0.191700
39960.000000,0.191700
40343.000000,0.191700
40726.000000,0.191278
41109.000000,0.190644
41492.000000,0.190644
41875.000000,0.190644
42258.000000,0.190644
42641.000000,0.190241
43024.000000,0.190241
43407.000000,0.190241
43790.000000,0.190241
44173.000000,0.190241
44556.000000,0.190241
44939.000000,0.190241
45322.000000,0.190241
45705.000000,0.190241
46088.000000,0.190241
46471.000000,0.190241
46854.000000,0.189870
47237.000000,0.189870
47620.000000,0.189870
48003.000000,0.189870
48386.000000,0.189870
48769.000000,0.189870
49152.000000,0.189870
49535.000000,0.189870
49918.000000,0.189772
50301.000000,0.189772
50684.000000,0.189772
51067.000000,0.189772
51450.000000,0.189742
51833.000000,0.189742
52216.000000,0.189742
52599.000000,0.189449
52982.000000,0.189449
53365.000000,0.189449
53748.000000,0.189449
54131.000000,0.189404
54514.000000,0.189380
54897.000000,0.189380
55280.000000,0.189363
55663.000000,0.189363
56046.000000,0.189363
56429.000000,0.189156
56812.000000,0.189156
57195.000000,0.189156
57578.000000,0.189156
