n_evaluations,fitness_history
960.000000,0.181206
1680.000000,0.181206
2400.000000,0.175941
3120.000000,0.172162
3840.000000,0.172162
4560.000000,0.161959
5280.000000,0.159005
6000.000000,0.156253
6720.000000,0.156253
7440.000000,0.155131
8160.000000,0.148925
8880.000000,0.145504
9600.000000,0.143538
10320.000000,0.138724
11040.000000,0.136098
11760.000000,0.133374
12480.000000,0.133374
13200.000000,0.129602
13920.000000,0.129225
14640.000000,0.126071
15360.000000,0.126071
16080.000000,0.123969
16800.000000,0.120134
17520.000000,0.120134
18240.000000,0.118817
18960.000000,0.117278
19680.000000,0.115737
20400.000000,0.110421
21120.000000,0.110421
21840.000000,0.110421
22560.000000,0.110421
23280.000000,0.107149
24000.000000,0.107149
24720.000000,0.104405
25440.000000,0.101524
26160.000000,0.101457
26880.000000,0.099254
27600.000000,0.099254
28320.000000,0.098575
29040.000000,0.097055
29760.000000,0.095805
30480.000000,0.093638
31200.000000,0.093638
31920.000000,0.093331
32640.000000,0.091131
33360.000000,0.090493
34080.000000,0.089220
34800.000000,0.087037
35520.000000,0.086795
36240.000000,0.086795
