n_evaluations,fitness_history
575.000000,0.218011
1006.000000,0.210457
1437.000000,0.197657
1868.000000,0.193958
2299.000000,0.193958
2730.000000,0.193958
3161.000000,0.191244
3592.000000,0.188082
4023.000000,0.181767
4454.000000,0.178212
4885.000000,0.171140
5316.000000,0.170732
5747.000000,0.165794
6178.000000,0.164257
6609.000000,0.160372
7040.000000,0.155900
7471.000000,0.153706
7902.000000,0.149489
8333.000000,0.149433
8764.000000,0.134687
9195.000000,0.134687
9626.000000,0.134687
10057.000000,0.134687
10488.000000,0.134136
10919.000000,0.134136
11350.000000,0.125583
11781.000000,0.124290
12212.000000,0.123342
12643.000000,0.120246
13074.000000,0.120246
13505.000000,0.112209
13936.000000,0.112209
14367.000000,0.110286
14798.000000,0.109871
15229.000000,0.107593
15660.000000,0.105966
16091.000000,0.105966
16522.000000,0.102111
16953.000000,0.101135
17384.000000,0.100797
17815.000000,0.100386
18246.000000,0.096079
18677.000000,0.096079
19108.000000,0.094509
19539.000000,0.094489
19970.000000,0.090701
20401.000000,0.087937
20832.000000,0.087937
21263.000000,0.086904
21694.000000,0.086011
22125.000000,0.083916
22556.000000,0.083916
22987.000000,0.081953
23418.000000,0.080858
23849.000000,0.080858
24280.000000,0.078446
24711.000000,0.075054
25142.000000,0.075054
25573.000000,0.072725
26004.000000,0.072725
26435.000000,0.070738
26866.000000,0.069943
27297.000000,0.069851
27728.000000,0.069851
28159.000000,0.066294
28590.000000,0.066294
29021.000000,0.066294
29452.000000,0.066294
29883.000000,0.065461
30314.000000,0.064826
30745.000000,0.064730
31176.000000,0.064730
31607.000000,0.064625
32038.000000,0.062363
32469.000000,0.062363
32900.000000,0.061864
33331.000000,0.061795
33762.000000,0.059775
34193.000000,0.059775
34624.000000,0.059775
35055.000000,0.059037
35486.000000,0.058659
35917.000000,0.057977
36348.000000,0.057977
36779.000000,0.057559
37210.000000,0.057087
37641.000000,0.056034
38072.000000,0.056034
38503.000000,0.055772
38934.000000,0.055772
39365.000000,0.054910
39796.000000,0.054910
40227.000000,0.054549
40658.000000,0.054348
41089.000000,0.052973
41520.000000,0.052973
41951.000000,0.052932
42382.000000,0.052932
42813.000000,0.051480
43244.000000,0.051310
43675.000000,0.051281
44106.000000,0.050919
44537.000000,0.050864
44968.000000,0.050478
45399.000000,0.050451
45830.000000,0.049733
46261.000000,0.049562
46692.000000,0.049271
47123.000000,0.049271
47554.000000,0.048223
47985.000000,0.047918
48416.000000,0.047918
48847.000000,0.047918
49278.000000,0.047565
49709.000000,0.047469
50140.000000,0.047087
50571.000000,0.047087
51002.000000,0.046826
51433.000000,0.046708
51864.000000,0.046634
52295.000000,0.045524
52726.000000,0.045524
53157.000000,0.044826
53588.000000,0.044826
54019.000000,0.044826
54450.000000,0.044826
54881.000000,0.044616
55312.000000,0.044616
55743.000000,0.044616
56174.000000,0.044470
56605.000000,0.043934
57036.000000,0.043934
57467.000000,0.043934
57898.000000,0.043934
58329.000000,0.043729
58760.000000,0.043215
59191.000000,0.043215
59622.000000,0.043215
60053.000000,0.043099
60484.000000,0.043022
60915.000000,0.042995
61346.000000,0.042489
61777.000000,0.042489
62208.000000,0.042489
62639.000000,0.042386
63070.000000,0.042357
63501.000000,0.042246
63932.000000,0.042246
64363.000000,0.041927
64794.000000,0.041547
