n_evaluations,fitness_history
575.000000,0.279940
1006.000000,0.279940
1437.000000,0.270409
1868.000000,0.270409
2299.000000,0.260404
2730.000000,0.257019
3161.000000,0.252500
3592.000000,0.244538
4023.000000,0.244538
4454.000000,0.240040
4885.000000,0.236627
5316.000000,0.236627
5747.000000,0.220541
6178.000000,0.220541
6609.000000,0.220541
7040.000000,0.220098
7471.000000,0.219217
7902.000000,0.213572
8333.000000,0.212444
8764.000000,0.211712
9195.000000,0.209556
9626.000000,0.207072
10057.000000,0.202248
10488.000000,0.202248
10919.000000,0.199271
11350.000000,0.193814
11781.000000,0.193814
12212.000000,0.193814
12643.000000,0.190032
13074.000000,0.187841
13505.000000,0.183179
13936.000000,0.183179
14367.000000,0.183179
14798.000000,0.179292
15229.000000,0.176686
15660.000000,0.176686
16091.000000,0.176146
16522.000000,0.175582
16953.000000,0.173281
17384.000000,0.173115
17815.000000,0.169970
18246.000000,0.169422
18677.000000,0.164491
19108.000000,0.164491
19539.000000,0.163884
19970.000000,0.160696
20401.000000,0.160696
20832.000000,0.160696
21263.000000,0.157988
21694.000000,0.157293
