n_evaluations,fitness_history
511.000000,0.002167
894.000000,0.002167
1277.000000,0.002083
1660.000000,0.001964
2043.000000,0.001778
2426.000000,0.001778
2809.000000,0.001748
3192.000000,0.001589
3575.000000,0.001358
3958.000000,0.001358
4341.000000,0.001258
4724.000000,0.001258
5107.000000,0.001155
5490.000000,0.001155
5873.000000,0.001155
6256.000000,0.001155
6639.000000,0.001146
7022.000000,0.001098
7405.000000,0.001079
7788.000000,0.001032
8171.000000,0.000985
8554.000000,0.000947
8937.000000,0.000898
9320.000000,0.000840
9703.000000,0.000840
10086.000000,0.000833
10469.000000,0.000776
10852.000000,0.000776
11235.000000,0.000746
11618.000000,0.000746
12001.000000,0.000717
12384.000000,0.000717
12767.000000,0.000717
13150.000000,0.000717
13533.000000,0.000709
13916.000000,0.000652
14299.000000,0.000652
14682.000000,0.000652
15065.000000,0.000652
15448.000000,0.000652
15831.000000,0.000652
16214.000000,0.000649
16597.000000,0.000649
16980.000000,0.000627
17363.000000,0.000567
17746.000000,0.000567
18129.000000,0.000567
18512.000000,0.000567
18895.000000,0.000567
19278.000000,0.000567
19661.000000,0.000560
20044.000000,0.000560
20427.000000,0.000560
20810.000000,0.000558
21193.000000,0.000546
21576.000000,0.000536
21959.000000,0.000536
22342.000000,0.000519
22725.000000,0.000519
23108.000000,0.000519
23491.000000,0.000519
23874.000000,0.000519
24257.000000,0.000503
24640.000000,0.000503
25023.000000,0.000503
25406.000000,0.000503
25789.000000,0.000503
26172.000000,0.000503
26555.000000,0.000484
26938.000000,0.000484
27321.000000,0.000484
27704.000000,0.000482
28087.000000,0.000482
28470.000000,0.000482
28853.000000,0.000436
29236.000000,0.000436
29619.000000,0.000436
30002.000000,0.000436
30385.000000,0.000436
30768.000000,0.000436
31151.000000,0.000436
31534.000000,0.000436
31917.000000,0.000436
32300.000000,0.000436
32683.000000,0.000436
33066.000000,0.000432
33449.000000,0.000432
33832.000000,0.000432
34215.000000,0.000432
34598.000000,0.000429
34981.000000,0.000429
35364.000000,0.000429
35747.000000,0.000429
36130.000000,0.000429
36513.000000,0.000429
36896.000000,0.000410
37279.000000,0.000410
37662.000000,0.000410
38045.000000,0.000410
38428.000000,0.000410
38811.000000,0.000410
39194.000000,0.000396
39577.000000,0.000396
39960.000000,0.000396
40343.000000,0.000396
40726.000000,0.000396
41109.000000,0.000396
41492.000000,0.000396
41875.000000,0.000396
42258.000000,0.000396
42641.000000,0.000396
43024.000000,0.000396
43407.000000,0.000396
43790.000000,0.000396
44173.000000,0.000396
44556.000000,0.000391
44939.000000,0.000391
45322.000000,0.000391
45705.000000,0.000391
46088.000000,0.000383
46471.000000,0.000383
46854.000000,0.000383
47237.000000,0.000383
47620.000000,0.000383
48003.000000,0.000380
48386.000000,0.000380
48769.000000,0.000377
49152.000000,0.000377
49535.000000,0.000377
49918.000000,0.000368
50301.000000,0.000368
50684.000000,0.000368
51067.000000,0.000368
51450.000000,0.000367
51833.000000,0.000367
52216.000000,0.000367
52599.000000,0.000367
52982.000000,0.000366
53365.000000,0.000366
53748.000000,0.000360
54131.000000,0.000358
54514.000000,0.000358
54897.000000,0.000358
55280.000000,0.000353
55663.000000,0.000345
56046.000000,0.000345
56429.000000,0.000345
56812.000000,0.000345
57195.000000,0.000345
57578.000000,0.000345
