n_evaluations,fitness_history
511.000000,0.235277
894.000000,0.235277
1277.000000,0.235277
1660.000000,0.234433
2043.000000,0.225706
2426.000000,0.212754
2809.000000,0.212104
3192.000000,0.204055
3575.000000,0.204055
3958.000000,0.193243
4341.000000,0.184173
4724.000000,0.173660
5107.000000,0.173660
5490.000000,0.173660
5873.000000,0.170554
6256.000000,0.167928
6639.000000,0.160839
7022.000000,0.158130
7405.000000,0.156233
7788.000000,0.153057
8171.000000,0.146048
8554.000000,0.143144
8937.000000,0.143144
9320.000000,0.129833
9703.000000,0.125536
10086.000000,0.125536
10469.000000,0.125536
10852.000000,0.124502
11235.000000,0.122456
11618.000000,0.118895
12001.000000,0.118504
12384.000000,0.107940
12767.000000,0.107940
13150.000000,0.107940
13533.000000,0.107940
13916.000000,0.104407
14299.000000,0.102770
14682.000000,0.098390
15065.000000,0.098390
15448.000000,0.098390
15831.000000,0.097017
16214.000000,0.093567
16597.000000,0.093567
16980.000000,0.087745
17363.000000,0.087745
17746.000000,0.087674
18129.000000,0.085507
18512.000000,0.083907
18895.000000,0.083630
19278.000000,0.078343
