n_evaluations,fitness_history
511.000000,0.062033
894.000000,0.062033
1277.000000,0.062033
1660.000000,0.060022
2043.000000,0.057730
2426.000000,0.057730
2809.000000,0.056972
3192.000000,0.056039
3575.000000,0.053874
3958.000000,0.053874
4341.000000,0.051804
4724.000000,0.051804
5107.000000,0.051706
5490.000000,0.051076
5873.000000,0.050943
6256.000000,0.049569
6639.000000,0.048350
7022.000000,0.048350
7405.000000,0.048350
7788.000000,0.047303
8171.000000,0.046363
8554.000000,0.046021
8937.000000,0.046021
9320.000000,0.044534
9703.000000,0.043353
10086.000000,0.043353
10469.000000,0.043343
10852.000000,0.042018
11235.000000,0.041833
11618.000000,0.041333
12001.000000,0.040447
12384.000000,0.040447
12767.000000,0.040258
13150.000000,0.039732
13533.000000,0.039732
13916.000000,0.039344
14299.000000,0.038748
14682.000000,0.037428
15065.000000,0.036770
15448.000000,0.036536
15831.000000,0.036484
16214.000000,0.036484
16597.000000,0.036054
16980.000000,0.035196
17363.000000,0.035020
17746.000000,0.035020
18129.000000,0.034701
18512.000000,0.034435
18895.000000,0.034152
19278.000000,0.033186
19661.000000,0.032920
20044.000000,0.032920
20427.000000,0.032841
20810.000000,0.032754
21193.000000,0.032677
21576.000000,0.032183
21959.000000,0.031346
22342.000000,0.031346
22725.000000,0.031346
23108.000000,0.031346
23491.000000,0.031096
23874.000000,0.030536
24257.000000,0.030536
24640.000000,0.030428
25023.000000,0.030201
25406.000000,0.029990
25789.000000,0.029934
26172.000000,0.029656
26555.000000,0.029231
26938.000000,0.029231
27321.000000,0.029003
27704.000000,0.029003
28087.000000,0.028740
28470.000000,0.028320
28853.000000,0.028320
29236.000000,0.028320
29619.000000,0.028320
30002.000000,0.028320
30385.000000,0.027904
30768.000000,0.027862
31151.000000,0.027862
31534.000000,0.027676
31917.000000,0.027523
32300.000000,0.027291
32683.000000,0.027202
33066.000000,0.026990
33449.000000,0.026990
33832.000000,0.026810
34215.000000,0.026273
34598.000000,0.026273
34981.000000,0.026273
35364.000000,0.026273
35747.000000,0.026174
36130.000000,0.026167
36513.000000,0.026167
36896.000000,0.025985
37279.000000,0.025985
37662.000000,0.025547
38045.000000,0.025547
38428.000000,0.025547
38811.000000,0.025547
39194.000000,0.025547
39577.000000,0.025547
39960.000000,0.025350
40343.000000,0.025350
40726.000000,0.025350
41109.000000,0.025307
41492.000000,0.025307
41875.000000,0.025307
42258.000000,0.024805
42641.000000,0.024805
43024.000000,0.024805
43407.000000,0.024805
43790.000000,0.024805
44173.000000,0.024805
44556.000000,0.024805
44939.000000,0.024805
45322.000000,0.024774
45705.000000,0.024774
46088.000000,0.024774
46471.000000,0.024774
46854.000000,0.024774
47237.000000,0.024774
47620.000000,0.024716
48003.000000,0.024615
48386.000000,0.024615
48769.000000,0.024588
49152.000000,0.024588
49535.000000,0.024414
49918.000000,0.024414
50301.000000,0.024414
50684.000000,0.024414
51067.000000,0.024414
51450.000000,0.024414
51833.000000,0.024414
52216.000000,0.024414
52599.000000,0.024414
52982.000000,0.024414
53365.000000,0.024414
53748.000000,0.024348
54131.000000,0.024348
54514.000000,0.024348
54897.000000,0.024348
55280.000000,0.024348
55663.000000,0.024320
56046.000000,0.024272
56429.000000,0.024166
56812.000000,0.024166
57195.000000,0.024112
57578.000000,0.023958
