n_evaluations,fitness_history
511.000000,0.300384
894.000000,0.300302
1277.000000,0.298598
1660.000000,0.295007
2043.000000,0.293477
2426.000000,0.291872
2809.000000,0.288914
3192.000000,0.286427
3575.000000,0.285006
3958.000000,0.281770
4341.000000,0.280805
4724.000000,0.280305
5107.000000,0.278856
5490.000000,0.278416
5873.000000,0.276024
6256.000000,0.275029
6639.000000,0.274350
7022.000000,0.272360
7405.000000,0.270959
7788.000000,0.270959
8171.000000,0.270201
8554.000000,0.267281
8937.000000,0.267281
9320.000000,0.264977
9703.000000,0.264977
10086.000000,0.264399
10469.000000,0.260698
10852.000000,0.260698
11235.000000,0.260698
11618.000000,0.260698
12001.000000,0.260135
12384.000000,0.260089
12767.000000,0.257237
13150.000000,0.255901
13533.000000,0.255901
13916.000000,0.255368
14299.000000,0.255368
14682.000000,0.253621
15065.000000,0.252286
15448.000000,0.252286
15831.000000,0.252286
16214.000000,0.251798
16597.000000,0.251273
16980.000000,0.250848
17363.000000,0.249653
17746.000000,0.248649
18129.000000,0.248649
18512.000000,0.248649
18895.000000,0.247463
19278.000000,0.247463
19661.000000,0.245753
20044.000000,0.245753
20427.000000,0.245645
20810.000000,0.245269
21193.000000,0.244926
21576.000000,0.244009
21959.000000,0.243780
22342.000000,0.243550
22725.000000,0.243550
23108.000000,0.242967
23491.000000,0.242681
23874.000000,0.242366
24257.000000,0.242017
24640.000000,0.241672
25023.000000,0.241155
25406.000000,0.241155
25789.000000,0.240546
26172.000000,0.239823
26555.000000,0.239823
26938.000000,0.239823
27321.000000,0.239718
27704.000000,0.239432
28087.000000,0.239236
28470.000000,0.238691
28853.000000,0.238691
29236.000000,0.238691
29619.000000,0.237659
30002.000000,0.237659
30385.000000,0.237659
30768.000000,0.237659
31151.000000,0.237541
31534.000000,0.237108
31917.000000,0.236253
32300.000000,0.236253
32683.000000,0.235716
33066.000000,0.235716
33449.000000,0.235716
33832.000000,0.235470
34215.000000,0.235099
34598.000000,0.235099
34981.000000,0.235099
35364.000000,0.235099
35747.000000,0.234585
36130.000000,0.234585
36513.000000,0.234585
36896.000000,0.234202
37279.000000,0.234202
37662.000000,0.234202
38045.000000,0.234202
38428.000000,0.234105
38811.000000,0.234105
39194.000000,0.233722
39577.000000,0.233560
39960.000000,0.233560
40343.000000,0.233552
40726.000000,0.233436
41109.000000,0.233409
41492.000000,0.233142
41875.000000,0.233142
42258.000000,0.233142
42641.000000,0.232980
43024.000000,0.232980
43407.000000,0.232980
43790.000000,0.232980
44173.000000,0.232980
44556.000000,0.232980
44939.000000,0.232980
45322.000000,0.232652
45705.000000,0.232580
46088.000000,0.232580
46471.000000,0.232580
46854.000000,0.232568
47237.000000,0.232568
47620.000000,0.232568
48003.000000,0.232568
48386.000000,0.232270
48769.000000,0.232238
49152.000000,0.232238
49535.000000,0.232238
49918.000000,0.232238
50301.000000,0.232198
50684.000000,0.232198
51067.000000,0.232198
51450.000000,0.232198
51833.000000,0.232190
52216.000000,0.232059
52599.000000,0.232059
52982.000000,0.232059
53365.000000,0.232059
53748.000000,0.232059
54131.000000,0.232059
54514.000000,0.232059
54897.000000,0.232021
55280.000000,0.232021
55663.000000,0.232021
56046.000000,0.232021
56429.000000,0.231880
56812.000000,0.231880
57195.000000,0.231632
57578.000000,0.231632
