n_evaluations,fitness_history
575.000000,0.223055
1006.000000,0.219094
1437.000000,0.218680
1868.000000,0.215399
2299.000000,0.211508
2730.000000,0.205297
3161.000000,0.204550
3592.000000,0.200160
4023.000000,0.198022
4454.000000,0.195809
4885.000000,0.193134
5316.000000,0.187226
5747.000000,0.184314
6178.000000,0.180169
6609.000000,0.180169
7040.000000,0.178552
7471.000000,0.174546
7902.000000,0.172238
8333.000000,0.172238
8764.000000,0.168852
9195.000000,0.166232
9626.000000,0.162664
10057.000000,0.162664
10488.000000,0.156409
10919.000000,0.156409
11350.000000,0.152082
11781.000000,0.152082
12212.000000,0.149657
12643.000000,0.149657
13074.000000,0.149657
13505.000000,0.144609
13936.000000,0.144609
14367.000000,0.143590
14798.000000,0.143078
15229.000000,0.139120
15660.000000,0.139120
16091.000000,0.138995
16522.000000,0.134528
16953.000000,0.134501
17384.000000,0.131556
17815.000000,0.130162
18246.000000,0.130162
18677.000000,0.130162
19108.000000,0.127564
19539.000000,0.126559
19970.000000,0.124541
20401.000000,0.124541
20832.000000,0.123985
21263.000000,0.122476
21694.000000,0.122476
22125.000000,0.122476
22556.000000,0.122063
22987.000000,0.118802
23418.000000,0.118462
23849.000000,0.118388
24280.000000,0.115017
24711.000000,0.115017
25142.000000,0.114300
25573.000000,0.114300
26004.000000,0.113132
26435.000000,0.113132
26866.000000,0.110859
27297.000000,0.109829
27728.000000,0.109829
28159.000000,0.109214
28590.000000,0.108859
29021.000000,0.108438
29452.000000,0.107699
29883.000000,0.106814
30314.000000,0.106316
30745.000000,0.103160
31176.000000,0.103160
31607.000000,0.103160
32038.000000,0.102309
32469.000000,0.101710
32900.000000,0.101219
33331.000000,0.101219
33762.000000,0.100289
34193.000000,0.098619
34624.000000,0.098619
35055.000000,0.097645
35486.000000,0.097645
35917.000000,0.097645
36348.000000,0.097533
36779.000000,0.096875
37210.000000,0.096513
37641.000000,0.096383
38072.000000,0.095714
38503.000000,0.094120
38934.000000,0.094120
39365.000000,0.094120
39796.000000,0.093679
40227.000000,0.092630
40658.000000,0.092314
41089.000000,0.092142
41520.000000,0.092069
41951.000000,0.091015
42382.000000,0.090473
42813.000000,0.090235
43244.000000,0.090054
43675.000000,0.090054
44106.000000,0.089729
44537.000000,0.089633
44968.000000,0.089345
45399.000000,0.088829
45830.000000,0.088542
46261.000000,0.088490
46692.000000,0.088001
47123.000000,0.086501
47554.000000,0.086160
47985.000000,0.086160
48416.000000,0.086160
48847.000000,0.086160
49278.000000,0.086094
49709.000000,0.086094
50140.000000,0.085157
50571.000000,0.085157
51002.000000,0.084827
51433.000000,0.084827
51864.000000,0.084230
52295.000000,0.084230
52726.000000,0.084230
53157.000000,0.084103
53588.000000,0.083649
54019.000000,0.083505
54450.000000,0.083505
54881.000000,0.083505
55312.000000,0.083405
55743.000000,0.083405
56174.000000,0.083007
56605.000000,0.082981
57036.000000,0.082312
57467.000000,0.082312
57898.000000,0.082312
58329.000000,0.082312
58760.000000,0.082312
59191.000000,0.082312
59622.000000,0.082106
60053.000000,0.081925
60484.000000,0.081832
60915.000000,0.081832
61346.000000,0.081832
61777.000000,0.081711
62208.000000,0.081605
62639.000000,0.081077
63070.000000,0.080880
63501.000000,0.080880
63932.000000,0.080797
64363.000000,0.080797
64794.000000,0.080711
