n_evaluations,fitness_history
511.000000,0.023146
894.000000,0.022633
1277.000000,0.021027
1660.000000,0.019788
2043.000000,0.019542
2426.000000,0.018291
2809.000000,0.017795
3192.000000,0.016703
3575.000000,0.015571
3958.000000,0.015571
4341.000000,0.014500
4724.000000,0.014063
5107.000000,0.013032
5490.000000,0.013013
5873.000000,0.012350
6256.000000,0.011218
6639.000000,0.011218
7022.000000,0.010956
7405.000000,0.009705
7788.000000,0.009021
8171.000000,0.009021
8554.000000,0.008934
8937.000000,0.008934
9320.000000,0.008756
9703.000000,0.008562
10086.000000,0.008049
10469.000000,0.007579
10852.000000,0.007367
11235.000000,0.006868
11618.000000,0.006868
12001.000000,0.006657
12384.000000,0.006573
12767.000000,0.006423
13150.000000,0.006081
13533.000000,0.006018
13916.000000,0.006018
14299.000000,0.005543
14682.000000,0.005543
15065.000000,0.005463
15448.000000,0.005249
15831.000000,0.005169
16214.000000,0.005144
16597.000000,0.004857
16980.000000,0.004834
17363.000000,0.004834
17746.000000,0.004834
18129.000000,0.004320
18512.000000,0.004320
18895.000000,0.004320
19278.000000,0.004320
19661.000000,0.004219
20044.000000,0.004107
20427.000000,0.003765
20810.000000,0.003765
21193.000000,0.003734
21576.000000,0.003649
21959.000000,0.003649
22342.000000,0.003629
22725.000000,0.003619
23108.000000,0.003619
23491.000000,0.003494
23874.000000,0.003494
24257.000000,0.003494
24640.000000,0.003420
25023.000000,0.003385
25406.000000,0.003381
25789.000000,0.003221
26172.000000,0.003195
26555.000000,0.003195
26938.000000,0.003195
27321.000000,0.003076
27704.000000,0.003076
28087.000000,0.003076
28470.000000,0.003007
28853.000000,0.002989
29236.000000,0.002963
29619.000000,0.002852
30002.000000,0.002852
30385.000000,0.002852
30768.000000,0.002852
31151.000000,0.002763
31534.000000,0.002730
31917.000000,0.002730
32300.000000,0.002661
32683.000000,0.002622
33066.000000,0.002614
33449.000000,0.002614
33832.000000,0.002585
34215.000000,0.002585
34598.000000,0.002542
34981.000000,0.002461
35364.000000,0.002461
35747.000000,0.002448
36130.000000,0.002448
36513.000000,0.002425
36896.000000,0.002425
37279.000000,0.002411
37662.000000,0.002370
38045.000000,0.002346
38428.000000,0.002346
38811.000000,0.002346
39194.000000,0.002346
39577.000000,0.002329
39960.000000,0.002329
40343.000000,0.002329
40726.000000,0.002329
41109.000000,0.002327
41492.000000,0.002296
41875.000000,0.002252
42258.000000,0.002252
42641.000000,0.002252
43024.000000,0.002252
43407.000000,0.002252
43790.000000,0.002252
44173.000000,0.002252
44556.000000,0.002228
44939.000000,0.002172
45322.000000,0.002172
45705.000000,0.002172
46088.000000,0.002172
46471.000000,0.002172
46854.000000,0.002172
47237.000000,0.002172
47620.000000,0.002172
48003.000000,0.002172
48386.000000,0.002172
48769.000000,0.002172
49152.000000,0.002172
49535.000000,0.002172
49918.000000,0.002172
50301.000000,0.002112
50684.000000,0.002112
51067.000000,0.002112
51450.000000,0.002089
51833.000000,0.002089
52216.000000,0.002089
52599.000000,0.002089
52982.000000,0.002089
53365.000000,0.002089
53748.000000,0.002089
54131.000000,0.002089
54514.000000,0.002089
54897.000000,0.002089
55280.000000,0.002089
55663.000000,0.002089
56046.000000,0.002089
56429.000000,0.002089
56812.000000,0.002089
57195.000000,0.002089
57578.000000,0.002089
