n_evaluations,fitness_history
511.000000,0.549772
894.000000,0.545750
1277.000000,0.530180
1660.000000,0.508635
2043.000000,0.508635
2426.000000,0.492606
2809.000000,0.492606
3192.000000,0.476231
3575.000000,0.476231
3958.000000,0.473664
4341.000000,0.449053
4724.000000,0.449053
5107.000000,0.449053
5490.000000,0.445812
5873.000000,0.443821
6256.000000,0.434760
6639.000000,0.432710
7022.000000,0.427026
7405.000000,0.418651
7788.000000,0.395572
8171.000000,0.393846
8554.000000,0.382149
8937.000000,0.382149
9320.000000,0.382149
9703.000000,0.382149
10086.000000,0.381347
10469.000000,0.375605
10852.000000,0.360364
11235.000000,0.360021
11618.000000,0.353980
12001.000000,0.353741
12384.000000,0.353741
12767.000000,0.346285
13150.000000,0.342727
13533.000000,0.342727
13916.000000,0.332805
14299.000000,0.332805
14682.000000,0.326429
15065.000000,0.326429
15448.000000,0.321508
15831.000000,0.309399
16214.000000,0.309399
16597.000000,0.309399
16980.000000,0.303895
17363.000000,0.303895
17746.000000,0.303895
18129.000000,0.301098
18512.000000,0.295906
18895.000000,0.293811
19278.000000,0.288220
19661.000000,0.284782
20044.000000,0.284782
20427.000000,0.284782
20810.000000,0.282019
21193.000000,0.278580
21576.000000,0.278580
21959.000000,0.278580
22342.000000,0.271285
22725.000000,0.271285
23108.000000,0.267080
23491.000000,0.267080
23874.000000,0.264669
24257.000000,0.264669
24640.000000,0.262062
25023.000000,0.259657
25406.000000,0.256934
25789.000000,0.255038
26172.000000,0.255038
26555.000000,0.255038
26938.000000,0.251033
27321.000000,0.251033
27704.000000,0.251033
28087.000000,0.249341
28470.000000,0.249341
28853.000000,0.247949
29236.000000,0.243735
29619.000000,0.243735
30002.000000,0.243735
30385.000000,0.240628
30768.000000,0.237085
31151.000000,0.237085
31534.000000,0.236002
31917.000000,0.236002
32300.000000,0.236002
32683.000000,0.236002
33066.000000,0.236002
33449.000000,0.235247
33832.000000,0.233203
34215.000000,0.231909
34598.000000,0.228595
34981.000000,0.227335
35364.000000,0.227335
35747.000000,0.227283
36130.000000,0.227283
36513.000000,0.226687
36896.000000,0.221205
37279.000000,0.221205
37662.000000,0.221205
38045.000000,0.221205
38428.000000,0.221205
38811.000000,0.219075
39194.000000,0.219075
39577.000000,0.219075
39960.000000,0.219075
40343.000000,0.218334
40726.000000,0.218334
41109.000000,0.218204
41492.000000,0.218204
41875.000000,0.215319
42258.000000,0.215319
42641.000000,0.215319
43024.000000,0.214594
43407.000000,0.214594
43790.000000,0.213344
44173.000000,0.213344
44556.000000,0.212394
44939.000000,0.212394
45322.000000,0.211072
45705.000000,0.208991
46088.000000,0.208313
46471.000000,0.208313
46854.000000,0.206471
47237.000000,0.206471
47620.000000,0.206471
48003.000000,0.204892
48386.000000,0.204892
48769.000000,0.204811
49152.000000,0.204742
49535.000000,0.203994
49918.000000,0.203524
50301.000000,0.203056
50684.000000,0.202980
51067.000000,0.200785
51450.000000,0.200785
51833.000000,0.199976
52216.000000,0.199801
52599.000000,0.198479
52982.000000,0.197886
53365.000000,0.197886
53748.000000,0.197886
54131.000000,0.197886
54514.000000,0.196370
54897.000000,0.196370
55280.000000,0.196370
55663.000000,0.196115
56046.000000,0.196115
56429.000000,0.195575
56812.000000,0.195575
57195.000000,0.194441
57578.000000,0.194441
