n_evaluations,fitness_history
511.000000,0.003893
894.000000,0.003838
1277.000000,0.003755
1660.000000,0.003595
2043.000000,0.003595
2426.000000,0.003422
2809.000000,0.003345
3192.000000,0.003261
3575.000000,0.003261
3958.000000,0.003261
4341.000000,0.003181
4724.000000,0.003094
5107.000000,0.003094
5490.000000,0.003071
5873.000000,0.003056
6256.000000,0.002962
6639.000000,0.002962
7022.000000,0.002855
7405.000000,0.002847
7788.000000,0.002805
8171.000000,0.002805
8554.000000,0.002799
8937.000000,0.002669
9320.000000,0.002669
9703.000000,0.002669
10086.000000,0.002631
10469.000000,0.002509
10852.000000,0.002509
11235.000000,0.002488
11618.000000,0.002488
12001.000000,0.002460
12384.000000,0.002423
12767.000000,0.002423
13150.000000,0.002399
13533.000000,0.002384
13916.000000,0.002384
14299.000000,0.002384
14682.000000,0.002384
15065.000000,0.002336
15448.000000,0.002328
15831.000000,0.002305
16214.000000,0.002275
16597.000000,0.002269
16980.000000,0.002247
17363.000000,0.002206
17746.000000,0.002201
18129.000000,0.002201
18512.000000,0.002173
18895.000000,0.002147
19278.000000,0.002132
19661.000000,0.002111
20044.000000,0.002111
20427.000000,0.002105
20810.000000,0.002085
21193.000000,0.002056
21576.000000,0.002047
21959.000000,0.002033
22342.000000,0.002033
22725.000000,0.002019
23108.000000,0.002015
23491.000000,0.001998
23874.000000,0.001991
24257.000000,0.001983
24640.000000,0.001954
25023.000000,0.001940
25406.000000,0.001936
25789.000000,0.001930
26172.000000,0.001924
26555.000000,0.001924
26938.000000,0.001882
27321.000000,0.001882
27704.000000,0.001882
28087.000000,0.001875
28470.000000,0.001859
28853.000000,0.001844
29236.000000,0.001844
29619.000000,0.001840
30002.000000,0.001840
30385.000000,0.001833
30768.000000,0.001814
31151.000000,0.001810
31534.000000,0.001806
31917.000000,0.001800
32300.000000,0.001800
32683.000000,0.001798
33066.000000,0.001783
33449.000000,0.001782
33832.000000,0.001781
34215.000000,0.001772
34598.000000,0.001770
34981.000000,0.001758
35364.000000,0.001758
35747.000000,0.001758
36130.000000,0.001756
36513.000000,0.001734
36896.000000,0.001734
37279.000000,0.001731
37662.000000,0.001729
38045.000000,0.001719
38428.000000,0.001719
38811.000000,0.001709
39194.000000,0.001709
39577.000000,0.001689
39960.000000,0.001689
40343.000000,0.001689
40726.000000,0.001689
41109.000000,0.001689
41492.000000,0.001683
41875.000000,0.001683
42258.000000,0.001683
42641.000000,0.001675
43024.000000,0.001671
43407.000000,0.001671
43790.000000,0.001666
44173.000000,0.001661
44556.000000,0.001661
44939.000000,0.001655
45322.000000,0.001646
45705.000000,0.001646
46088.000000,0.001641
46471.000000,0.001641
46854.000000,0.001641
47237.000000,0.001635
47620.000000,0.001635
48003.000000,0.001635
48386.000000,0.001635
48769.000000,0.001635
49152.000000,0.001628
49535.000000,0.001628
49918.000000,0.001626
50301.000000,0.001626
50684.000000,0.001625
51067.000000,0.001625
51450.000000,0.001624
51833.000000,0.001624
52216.000000,0.001623
52599.000000,0.001620
52982.000000,0.001620
53365.000000,0.001618
53748.000000,0.001618
54131.000000,0.001618
54514.000000,0.001618
54897.000000,0.001617
55280.000000,0.001617
55663.000000,0.001614
56046.000000,0.001614
56429.000000,0.001614
56812.000000,0.001613
57195.000000,0.001612
57578.000000,0.001611
