n_evaluations,fitness_history
511.000000,0.009812
894.000000,0.009784
1277.000000,0.009454
1660.000000,0.009454
2043.000000,0.009244
2426.000000,0.009237
2809.000000,0.008941
3192.000000,0.008719
3575.000000,0.008608
3958.000000,0.008478
4341.000000,0.008260
4724.000000,0.008000
5107.000000,0.008000
5490.000000,0.007926
5873.000000,0.007926
6256.000000,0.007835
6639.000000,0.007651
7022.000000,0.007651
7405.000000,0.007470
7788.000000,0.007470
8171.000000,0.007265
8554.000000,0.007168
8937.000000,0.007168
9320.000000,0.007063
9703.000000,0.007063
10086.000000,0.006836
10469.000000,0.006836
10852.000000,0.006836
11235.000000,0.006720
11618.000000,0.006719
12001.000000,0.006667
12384.000000,0.006580
12767.000000,0.006487
13150.000000,0.006395
13533.000000,0.006320
13916.000000,0.006305
14299.000000,0.006262
14682.000000,0.006252
15065.000000,0.006055
15448.000000,0.006055
15831.000000,0.006025
16214.000000,0.005959
16597.000000,0.005788
16980.000000,0.005788
17363.000000,0.005788
17746.000000,0.005780
18129.000000,0.005757
18512.000000,0.005660
18895.000000,0.005660
19278.000000,0.005640
19661.000000,0.005631
20044.000000,0.005572
20427.000000,0.005452
20810.000000,0.005390
21193.000000,0.005390
21576.000000,0.005328
21959.000000,0.005295
22342.000000,0.005295
22725.000000,0.005291
23108.000000,0.005285
23491.000000,0.005232
23874.000000,0.005208
24257.000000,0.005208
24640.000000,0.005186
25023.000000,0.005149
25406.000000,0.005137
25789.000000,0.005089
26172.000000,0.005089
26555.000000,0.005083
26938.000000,0.005068
27321.000000,0.005027
27704.000000,0.004985
28087.000000,0.004970
28470.000000,0.004938
28853.000000,0.004938
29236.000000,0.004933
29619.000000,0.004933
30002.000000,0.004882
30385.000000,0.004882
30768.000000,0.004855
31151.000000,0.004855
31534.000000,0.004852
31917.000000,0.004812
32300.000000,0.004812
32683.000000,0.004775
33066.000000,0.004765
33449.000000,0.004765
33832.000000,0.004748
34215.000000,0.004706
34598.000000,0.004706
34981.000000,0.004706
35364.000000,0.004623
35747.000000,0.004623
36130.000000,0.004623
36513.000000,0.004616
36896.000000,0.004616
37279.000000,0.004616
37662.000000,0.004616
38045.000000,0.004604
38428.000000,0.004599
38811.000000,0.004584
39194.000000,0.004548
39577.000000,0.004548
39960.000000,0.004548
40343.000000,0.004529
40726.000000,0.004528
41109.000000,0.004528
41492.000000,0.004518
41875.000000,0.004516
42258.000000,0.004498
42641.000000,0.004496
43024.000000,0.004496
43407.000000,0.004491
43790.000000,0.004482
44173.000000,0.004473
44556.000000,0.004465
44939.000000,0.004464
45322.000000,0.004451
45705.000000,0.004451
46088.000000,0.004441
46471.000000,0.004434
46854.000000,0.004417
47237.000000,0.004417
47620.000000,0.004406
48003.000000,0.004392
48386.000000,0.004389
48769.000000,0.004377
49152.000000,0.004377
49535.000000,0.004367
49918.000000,0.004367
50301.000000,0.004367
50684.000000,0.004367
51067.000000,0.004362
51450.000000,0.004357
51833.000000,0.004357
52216.000000,0.004353
52599.000000,0.004353
52982.000000,0.004353
53365.000000,0.004339
53748.000000,0.004339
54131.000000,0.004337
54514.000000,0.004337
54897.000000,0.004331
55280.000000,0.004331
55663.000000,0.004328
56046.000000,0.004320
56429.000000,0.004320
56812.000000,0.004313
57195.000000,0.004313
57578.000000,0.004305
