n_evaluations,fitness_history
575.000000,0.038492
1006.000000,0.038492
1437.000000,0.037715
1868.000000,0.037715
2299.000000,0.037460
2730.000000,0.036938
3161.000000,0.036555
3592.000000,0.035944
4023.000000,0.035650
4454.000000,0.035179
4885.000000,0.034721
5316.000000,0.034275
5747.000000,0.034052
6178.000000,0.034052
6609.000000,0.032951
7040.000000,0.032531
7471.000000,0.032531
7902.000000,0.031467
8333.000000,0.031467
8764.000000,0.031467
9195.000000,0.031163
9626.000000,0.030838
10057.000000,0.030567
10488.000000,0.030465
10919.000000,0.029553
11350.000000,0.029553
11781.000000,0.029553
12212.000000,0.029228
12643.000000,0.028665
13074.000000,0.028665
13505.000000,0.028139
13936.000000,0.028139
14367.000000,0.027677
14798.000000,0.027677
15229.000000,0.027498
15660.000000,0.027257
16091.000000,0.027257
16522.000000,0.027169
16953.000000,0.026724
17384.000000,0.026436
17815.000000,0.026436
18246.000000,0.026291
18677.000000,0.026179
19108.000000,0.025793
19539.000000,0.025468
19970.000000,0.025468
20401.000000,0.025468
20832.000000,0.025468
21263.000000,0.025200
21694.000000,0.025024
22125.000000,0.024915
22556.000000,0.024915
22987.000000,0.024915
23418.000000,0.024915
23849.000000,0.024437
24280.000000,0.024437
24711.000000,0.024437
25142.000000,0.024121
25573.000000,0.024121
26004.000000,0.024067
26435.000000,0.024067
26866.000000,0.023679
27297.000000,0.023679
27728.000000,0.023679
28159.000000,0.023580
28590.000000,0.023464
29021.000000,0.023319
29452.000000,0.023319
29883.000000,0.023106
30314.000000,0.023106
30745.000000,0.023106
31176.000000,0.023038
31607.000000,0.022739
32038.000000,0.022739
32469.000000,0.022728
32900.000000,0.022491
33331.000000,0.022491
33762.000000,0.022491
34193.000000,0.022452
34624.000000,0.022452
35055.000000,0.022452
35486.000000,0.022246
35917.000000,0.022246
36348.000000,0.022246
36779.000000,0.022173
37210.000000,0.022110
37641.000000,0.022110
38072.000000,0.021942
38503.000000,0.021879
38934.000000,0.021879
39365.000000,0.021792
39796.000000,0.021792
40227.000000,0.021759
40658.000000,0.021759
41089.000000,0.021699
41520.000000,0.021562
41951.000000,0.021562
42382.000000,0.021562
42813.000000,0.021562
43244.000000,0.021562
43675.000000,0.021425
44106.000000,0.021425
44537.000000,0.021323
44968.000000,0.021323
45399.000000,0.021301
45830.000000,0.021114
46261.000000,0.021114
46692.000000,0.021114
47123.000000,0.021114
47554.000000,0.020974
47985.000000,0.020974
48416.000000,0.020974
48847.000000,0.020946
49278.000000,0.020946
49709.000000,0.020946
50140.000000,0.020946
50571.000000,0.020827
51002.000000,0.020827
51433.000000,0.020827
51864.000000,0.020827
52295.000000,0.020823
52726.000000,0.020823
53157.000000,0.020823
53588.000000,0.020793
54019.000000,0.020688
54450.000000,0.020688
54881.000000,0.020688
55312.000000,0.020688
55743.000000,0.020688
56174.000000,0.020688
56605.000000,0.020688
57036.000000,0.020688
57467.000000,0.020645
57898.000000,0.020645
58329.000000,0.020618
58760.000000,0.020618
59191.000000,0.020608
59622.000000,0.020608
60053.000000,0.020577
60484.000000,0.020546
60915.000000,0.020546
61346.000000,0.020546
61777.000000,0.020546
62208.000000,0.020546
62639.000000,0.020477
63070.000000,0.020477
63501.000000,0.020477
63932.000000,0.020477
64363.000000,0.020445
64794.000000,0.020445
