n_evaluations,fitness_history
575.000000,0.064526
1006.000000,0.064526
1437.000000,0.063704
1868.000000,0.062049
2299.000000,0.062049
2730.000000,0.061262
3161.000000,0.059443
3592.000000,0.059443
4023.000000,0.059443
4454.000000,0.059443
4885.000000,0.058141
5316.000000,0.058095
5747.000000,0.057467
6178.000000,0.057254
6609.000000,0.056585
7040.000000,0.055601
7471.000000,0.055439
7902.000000,0.055113
8333.000000,0.054998
8764.000000,0.054727
9195.000000,0.053635
9626.000000,0.052896
10057.000000,0.052896
10488.000000,0.052426
10919.000000,0.052426
11350.000000,0.051987
11781.000000,0.051987
12212.000000,0.051275
12643.000000,0.050864
13074.000000,0.050864
13505.000000,0.050539
13936.000000,0.049410
14367.000000,0.049410
14798.000000,0.048735
15229.000000,0.048735
15660.000000,0.048492
16091.000000,0.048421
16522.000000,0.048052
16953.000000,0.048052
17384.000000,0.048052
17815.000000,0.048052
18246.000000,0.047710
18677.000000,0.047546
19108.000000,0.047445
19539.000000,0.046224
19970.000000,0.046224
20401.000000,0.046224
20832.000000,0.046224
21263.000000,0.046199
21694.000000,0.046183
22125.000000,0.045855
22556.000000,0.045812
22987.000000,0.044973
23418.000000,0.044973
23849.000000,0.044973
24280.000000,0.044973
24711.000000,0.044973
25142.000000,0.044569
25573.000000,0.044504
26004.000000,0.044316
26435.000000,0.044316
26866.000000,0.044225
27297.000000,0.043579
27728.000000,0.043579
28159.000000,0.043579
28590.000000,0.043489
29021.000000,0.043489
29452.000000,0.043339
29883.000000,0.043217
30314.000000,0.043068
30745.000000,0.042626
31176.000000,0.042352
31607.000000,0.042152
32038.000000,0.042152
32469.000000,0.042152
32900.000000,0.042152
33331.000000,0.042152
33762.000000,0.042152
34193.000000,0.041758
34624.000000,0.041758
35055.000000,0.041758
35486.000000,0.041624
35917.000000,0.041624
36348.000000,0.041534
36779.000000,0.041340
37210.000000,0.041340
37641.000000,0.041176
38072.000000,0.041176
38503.000000,0.041039
38934.000000,0.041039
39365.000000,0.041029
39796.000000,0.041029
40227.000000,0.040791
40658.000000,0.040791
41089.000000,0.040791
41520.000000,0.040731
41951.000000,0.040731
42382.000000,0.040731
42813.000000,0.040723
43244.000000,0.040627
43675.000000,0.040482
44106.000000,0.040366
44537.000000,0.040366
44968.000000,0.040315
45399.000000,0.040299
45830.000000,0.040256
46261.000000,0.040036
46692.000000,0.039923
47123.000000,0.039923
47554.000000,0.039923
47985.000000,0.039923
48416.000000,0.039923
48847.000000,0.039840
49278.000000,0.039812
49709.000000,0.039776
50140.000000,0.039730
50571.000000,0.039487
51002.000000,0.039487
51433.000000,0.039487
51864.000000,0.039487
52295.000000,0.039487
52726.000000,0.039486
53157.000000,0.039486
53588.000000,0.039394
54019.000000,0.039315
54450.000000,0.039315
54881.000000,0.039315
55312.000000,0.039222
55743.000000,0.039219
56174.000000,0.039219
56605.000000,0.039218
57036.000000,0.039218
57467.000000,0.039218
57898.000000,0.039159
58329.000000,0.039109
58760.000000,0.039109
59191.000000,0.039095
59622.000000,0.039062
60053.000000,0.039049
60484.000000,0.039049
60915.000000,0.038957
61346.000000,0.038908
61777.000000,0.038892
62208.000000,0.038798
62639.000000,0.038798
63070.000000,0.038798
63501.000000,0.038798
63932.000000,0.038798
64363.000000,0.038798
64794.000000,0.038798
