n_evaluations,fitness_history
511.000000,0.017372
894.000000,0.017372
1277.000000,0.016942
1660.000000,0.016815
2043.000000,0.016375
2426.000000,0.015929
2809.000000,0.015032
3192.000000,0.015032
3575.000000,0.014792
3958.000000,0.014175
4341.000000,0.013905
4724.000000,0.013832
5107.000000,0.012969
5490.000000,0.012969
5873.000000,0.012736
6256.000000,0.012427
6639.000000,0.011645
7022.000000,0.011407
7405.000000,0.011407
7788.000000,0.010684
8171.000000,0.010684
8554.000000,0.010684
8937.000000,0.010684
9320.000000,0.010584
9703.000000,0.010283
10086.000000,0.009813
10469.000000,0.009405
10852.000000,0.009405
11235.000000,0.009405
11618.000000,0.008997
12001.000000,0.008525
12384.000000,0.008525
12767.000000,0.008232
13150.000000,0.008232
13533.000000,0.008127
13916.000000,0.008127
14299.000000,0.007897
14682.000000,0.007893
15065.000000,0.007321
15448.000000,0.007321
15831.000000,0.007280
16214.000000,0.007110
16597.000000,0.006876
16980.000000,0.006859
17363.000000,0.006589
17746.000000,0.006589
18129.000000,0.006214
18512.000000,0.006214
18895.000000,0.006165
19278.000000,0.006123
19661.000000,0.005835
20044.000000,0.005835
20427.000000,0.005835
20810.000000,0.005712
21193.000000,0.005633
21576.000000,0.005475
21959.000000,0.005239
22342.000000,0.005187
22725.000000,0.005187
23108.000000,0.005160
23491.000000,0.005054
23874.000000,0.004988
24257.000000,0.004988
24640.000000,0.004988
25023.000000,0.004769
25406.000000,0.004769
25789.000000,0.004723
26172.000000,0.004573
26555.000000,0.004573
26938.000000,0.004502
27321.000000,0.004502
27704.000000,0.004393
28087.000000,0.004248
28470.000000,0.004248
28853.000000,0.004248
29236.000000,0.004248
29619.000000,0.004248
30002.000000,0.004248
30385.000000,0.004189
30768.000000,0.004008
31151.000000,0.004008
31534.000000,0.004008
31917.000000,0.003919
32300.000000,0.003910
32683.000000,0.003896
33066.000000,0.003892
33449.000000,0.003885
33832.000000,0.003859
34215.000000,0.003791
34598.000000,0.003708
34981.000000,0.003708
35364.000000,0.003659
35747.000000,0.003659
36130.000000,0.003656
36513.000000,0.003620
36896.000000,0.003525
37279.000000,0.003525
37662.000000,0.003525
38045.000000,0.003525
38428.000000,0.003505
38811.000000,0.003472
39194.000000,0.003448
39577.000000,0.003448
39960.000000,0.003381
40343.000000,0.003381
40726.000000,0.003381
41109.000000,0.003329
41492.000000,0.003329
41875.000000,0.003329
42258.000000,0.003329
42641.000000,0.003329
43024.000000,0.003276
43407.000000,0.003276
43790.000000,0.003276
44173.000000,0.003276
44556.000000,0.003276
44939.000000,0.003239
45322.000000,0.003206
45705.000000,0.003206
46088.000000,0.003206
46471.000000,0.003206
46854.000000,0.003157
47237.000000,0.003157
47620.000000,0.003157
48003.000000,0.003129
48386.000000,0.003129
48769.000000,0.003129
49152.000000,0.003129
49535.000000,0.003123
49918.000000,0.003123
50301.000000,0.003079
50684.000000,0.003079
51067.000000,0.003079
51450.000000,0.003079
51833.000000,0.003079
52216.000000,0.003079
52599.000000,0.003079
52982.000000,0.003062
53365.000000,0.003040
53748.000000,0.003040
54131.000000,0.003035
54514.000000,0.003035
54897.000000,0.003012
55280.000000,0.003012
55663.000000,0.003012
56046.000000,0.003012
56429.000000,0.003007
56812.000000,0.002972
57195.000000,0.002949
57578.000000,0.002934
