n_evaluations,fitness_history
575.000000,0.225547
1006.000000,0.225547
1437.000000,0.220435
1868.000000,0.217154
2299.000000,0.209426
2730.000000,0.209426
3161.000000,0.203543
3592.000000,0.203543
4023.000000,0.198031
4454.000000,0.196318
4885.000000,0.188932
5316.000000,0.188932
5747.000000,0.187158
6178.000000,0.184853
6609.000000,0.176872
7040.000000,0.176110
7471.000000,0.169907
7902.000000,0.169268
8333.000000,0.164702
8764.000000,0.164702
9195.000000,0.163405
9626.000000,0.161528
10057.000000,0.159654
10488.000000,0.157672
10919.000000,0.157672
11350.000000,0.154917
11781.000000,0.149612
12212.000000,0.149612
12643.000000,0.145286
13074.000000,0.139526
13505.000000,0.139526
13936.000000,0.139526
14367.000000,0.139526
14798.000000,0.139188
15229.000000,0.137734
15660.000000,0.137363
16091.000000,0.134079
16522.000000,0.130577
16953.000000,0.130577
17384.000000,0.130577
17815.000000,0.130236
18246.000000,0.124849
18677.000000,0.124523
19108.000000,0.119385
19539.000000,0.119385
19970.000000,0.119385
20401.000000,0.119385
20832.000000,0.118280
21263.000000,0.118268
21694.000000,0.117799
22125.000000,0.117375
22556.000000,0.116352
22987.000000,0.115455
23418.000000,0.115254
23849.000000,0.113614
24280.000000,0.112879
24711.000000,0.110776
25142.000000,0.109358
25573.000000,0.109358
26004.000000,0.108462
26435.000000,0.107208
26866.000000,0.107208
27297.000000,0.105680
27728.000000,0.105680
28159.000000,0.105594
28590.000000,0.104182
29021.000000,0.104182
29452.000000,0.104091
29883.000000,0.102581
30314.000000,0.102471
30745.000000,0.101999
31176.000000,0.101725
31607.000000,0.100654
32038.000000,0.098666
32469.000000,0.098666
32900.000000,0.098666
33331.000000,0.097190
33762.000000,0.096322
34193.000000,0.096322
34624.000000,0.096322
35055.000000,0.096322
35486.000000,0.095735
35917.000000,0.095735
36348.000000,0.095735
36779.000000,0.094868
37210.000000,0.093745
37641.000000,0.093745
38072.000000,0.093745
38503.000000,0.092459
38934.000000,0.092459
39365.000000,0.092459
39796.000000,0.092021
40227.000000,0.091910
40658.000000,0.091910
41089.000000,0.091910
41520.000000,0.091284
41951.000000,0.090736
42382.000000,0.090418
42813.000000,0.090418
43244.000000,0.090327
43675.000000,0.090327
44106.000000,0.089781
44537.000000,0.089606
44968.000000,0.089538
45399.000000,0.089098
45830.000000,0.088579
46261.000000,0.088181
46692.000000,0.088181
47123.000000,0.087895
47554.000000,0.087895
47985.000000,0.087143
48416.000000,0.087083
48847.000000,0.087024
49278.000000,0.087024
49709.000000,0.086890
50140.000000,0.086280
50571.000000,0.086280
51002.000000,0.086279
51433.000000,0.086272
51864.000000,0.085677
52295.000000,0.085677
52726.000000,0.085188
53157.000000,0.085188
53588.000000,0.085188
54019.000000,0.085188
54450.000000,0.085058
54881.000000,0.084912
55312.000000,0.084795
55743.000000,0.084795
56174.000000,0.084671
56605.000000,0.084423
57036.000000,0.084136
57467.000000,0.084136
57898.000000,0.084136
58329.000000,0.083729
58760.000000,0.083729
59191.000000,0.083729
59622.000000,0.083595
60053.000000,0.083595
60484.000000,0.083595
60915.000000,0.083595
61346.000000,0.083364
61777.000000,0.083364
62208.000000,0.083364
62639.000000,0.083196
63070.000000,0.083196
63501.000000,0.083196
63932.000000,0.082829
64363.000000,0.082829
64794.000000,0.082829
