n_evaluations,fitness_history
511.000000,0.281578
894.000000,0.281578
1277.000000,0.273149
1660.000000,0.268881
2043.000000,0.256389
2426.000000,0.253439
2809.000000,0.245832
3192.000000,0.235351
3575.000000,0.224630
3958.000000,0.224630
4341.000000,0.220188
4724.000000,0.214984
5107.000000,0.214984
5490.000000,0.194397
5873.000000,0.194397
6256.000000,0.194397
6639.000000,0.190847
7022.000000,0.185948
7405.000000,0.185948
7788.000000,0.185209
8171.000000,0.180820
8554.000000,0.176178
8937.000000,0.172120
9320.000000,0.160349
9703.000000,0.160349
10086.000000,0.155845
10469.000000,0.155746
10852.000000,0.155746
11235.000000,0.150267
11618.000000,0.144185
12001.000000,0.134853
12384.000000,0.134853
12767.000000,0.134853
13150.000000,0.134853
13533.000000,0.134853
13916.000000,0.134853
14299.000000,0.129712
14682.000000,0.128033
15065.000000,0.126556
15448.000000,0.121098
15831.000000,0.121098
16214.000000,0.111856
16597.000000,0.111856
16980.000000,0.110603
17363.000000,0.110603
17746.000000,0.110603
18129.000000,0.108533
18512.000000,0.102831
18895.000000,0.102831
19278.000000,0.102831
19661.000000,0.101508
20044.000000,0.101508
20427.000000,0.095842
20810.000000,0.095842
21193.000000,0.094894
21576.000000,0.094256
21959.000000,0.093462
22342.000000,0.092396
22725.000000,0.092396
23108.000000,0.087234
23491.000000,0.085049
23874.000000,0.085049
24257.000000,0.082335
24640.000000,0.081295
25023.000000,0.081295
25406.000000,0.079941
25789.000000,0.079941
26172.000000,0.079768
26555.000000,0.079768
26938.000000,0.077837
27321.000000,0.076516
27704.000000,0.076512
28087.000000,0.076184
28470.000000,0.074519
28853.000000,0.072847
29236.000000,0.072801
29619.000000,0.072321
30002.000000,0.069134
30385.000000,0.069134
30768.000000,0.067341
31151.000000,0.067341
31534.000000,0.067341
31917.000000,0.066511
32300.000000,0.066511
32683.000000,0.064991
33066.000000,0.064991
33449.000000,0.064744
33832.000000,0.063254
34215.000000,0.062478
34598.000000,0.061301
34981.000000,0.060666
35364.000000,0.060666
35747.000000,0.060021
36130.000000,0.060021
36513.000000,0.059298
36896.000000,0.058161
37279.000000,0.058161
37662.000000,0.057970
38045.000000,0.057488
38428.000000,0.057488
38811.000000,0.057488
39194.000000,0.056279
39577.000000,0.056219
39960.000000,0.056032
40343.000000,0.055328
40726.000000,0.055328
41109.000000,0.055266
41492.000000,0.055117
41875.000000,0.055117
42258.000000,0.054681
42641.000000,0.054281
43024.000000,0.054023
43407.000000,0.053572
43790.000000,0.053572
44173.000000,0.052983
44556.000000,0.052983
44939.000000,0.052630
45322.000000,0.052630
45705.000000,0.052630
46088.000000,0.052630
46471.000000,0.052276
46854.000000,0.052276
47237.000000,0.052046
47620.000000,0.051948
48003.000000,0.051702
48386.000000,0.051702
48769.000000,0.051115
49152.000000,0.051115
49535.000000,0.051115
49918.000000,0.051062
50301.000000,0.049930
50684.000000,0.049930
51067.000000,0.049930
51450.000000,0.049930
51833.000000,0.049930
52216.000000,0.049736
52599.000000,0.049736
52982.000000,0.049736
53365.000000,0.049012
53748.000000,0.049012
54131.000000,0.049012
54514.000000,0.049012
54897.000000,0.048695
55280.000000,0.048695
55663.000000,0.048695
56046.000000,0.048695
56429.000000,0.048695
56812.000000,0.048695
57195.000000,0.048498
57578.000000,0.048498
