n_evaluations,fitness_history
511.000000,0.239164
894.000000,0.238664
1277.000000,0.238070
1660.000000,0.236056
2043.000000,0.227479
2426.000000,0.225461
2809.000000,0.225461
3192.000000,0.225461
3575.000000,0.225085
3958.000000,0.225085
4341.000000,0.221445
4724.000000,0.219068
5107.000000,0.217473
5490.000000,0.217473
5873.000000,0.217473
6256.000000,0.215521
6639.000000,0.215521
7022.000000,0.215521
7405.000000,0.214641
7788.000000,0.214163
8171.000000,0.212497
8554.000000,0.211297
8937.000000,0.210209
9320.000000,0.210192
9703.000000,0.209415
10086.000000,0.207939
10469.000000,0.207612
10852.000000,0.206422
11235.000000,0.206299
11618.000000,0.205394
12001.000000,0.204412
12384.000000,0.204412
12767.000000,0.204412
13150.000000,0.203955
13533.000000,0.203066
13916.000000,0.203066
14299.000000,0.202363
14682.000000,0.202341
15065.000000,0.200713
15448.000000,0.200713
15831.000000,0.200655
16214.000000,0.199895
16597.000000,0.199895
16980.000000,0.198319
17363.000000,0.198319
17746.000000,0.197246
18129.000000,0.197246
18512.000000,0.197246
18895.000000,0.197222
19278.000000,0.197124
