n_evaluations,fitness_history
575.000000,0.216706
1006.000000,0.216706
1437.000000,0.207365
1868.000000,0.205190
2299.000000,0.203805
2730.000000,0.197339
3161.000000,0.189913
3592.000000,0.186706
4023.000000,0.183861
4454.000000,0.180692
4885.000000,0.176538
5316.000000,0.174229
5747.000000,0.168246
6178.000000,0.160681
6609.000000,0.160681
7040.000000,0.160681
7471.000000,0.160681
7902.000000,0.160681
8333.000000,0.155655
8764.000000,0.155077
9195.000000,0.149802
9626.000000,0.149497
10057.000000,0.145994
10488.000000,0.142946
10919.000000,0.142946
11350.000000,0.142702
11781.000000,0.142702
12212.000000,0.139250
12643.000000,0.136297
13074.000000,0.136177
13505.000000,0.133388
13936.000000,0.133388
14367.000000,0.130313
14798.000000,0.129113
15229.000000,0.128289
15660.000000,0.128289
16091.000000,0.126563
16522.000000,0.126563
16953.000000,0.125434
17384.000000,0.123709
17815.000000,0.123709
18246.000000,0.120650
18677.000000,0.120650
19108.000000,0.120650
19539.000000,0.120650
19970.000000,0.119217
20401.000000,0.117925
20832.000000,0.117925
21263.000000,0.114435
21694.000000,0.114238
