n_evaluations,fitness_history
511.000000,0.304620
894.000000,0.297642
1277.000000,0.296482
1660.000000,0.293218
2043.000000,0.276228
2426.000000,0.271694
2809.000000,0.255564
3192.000000,0.255564
3575.000000,0.249411
3958.000000,0.240382
4341.000000,0.240382
4724.000000,0.234616
5107.000000,0.233279
5490.000000,0.223201
5873.000000,0.223201
6256.000000,0.216679
6639.000000,0.210134
7022.000000,0.206182
7405.000000,0.204425
7788.000000,0.192555
8171.000000,0.192555
8554.000000,0.192555
8937.000000,0.190694
9320.000000,0.187738
9703.000000,0.180523
10086.000000,0.175002
10469.000000,0.174838
10852.000000,0.163605
11235.000000,0.163605
11618.000000,0.163605
12001.000000,0.157877
12384.000000,0.157877
12767.000000,0.157877
13150.000000,0.154333
13533.000000,0.146273
13916.000000,0.146273
14299.000000,0.146273
14682.000000,0.142718
15065.000000,0.142718
15448.000000,0.139287
15831.000000,0.136583
16214.000000,0.134748
16597.000000,0.134748
16980.000000,0.127109
17363.000000,0.127109
17746.000000,0.125486
18129.000000,0.122762
18512.000000,0.122762
18895.000000,0.119815
19278.000000,0.119815
