n_evaluations,fitness_history
511.000000,0.323529
894.000000,0.320224
1277.000000,0.318665
1660.000000,0.318456
2043.000000,0.313593
2426.000000,0.312098
2809.000000,0.310850
3192.000000,0.308318
3575.000000,0.305392
3958.000000,0.302436
4341.000000,0.302436
4724.000000,0.298708
5107.000000,0.298708
5490.000000,0.297827
5873.000000,0.293794
6256.000000,0.293794
6639.000000,0.292482
7022.000000,0.289414
7405.000000,0.289414
7788.000000,0.287105
8171.000000,0.285451
8554.000000,0.285451
8937.000000,0.284915
9320.000000,0.284812
9703.000000,0.280982
10086.000000,0.280982
10469.000000,0.279721
10852.000000,0.277029
11235.000000,0.276882
11618.000000,0.276882
12001.000000,0.276677
12384.000000,0.273943
12767.000000,0.273943
13150.000000,0.272780
13533.000000,0.272662
13916.000000,0.271666
14299.000000,0.271666
14682.000000,0.271106
15065.000000,0.270816
15448.000000,0.268211
15831.000000,0.268075
16214.000000,0.267265
16597.000000,0.266969
16980.000000,0.266267
17363.000000,0.265820
17746.000000,0.265714
18129.000000,0.264505
18512.000000,0.264505
18895.000000,0.264340
19278.000000,0.262866
