n_evaluations,fitness_history
575.000000,0.319258
1006.000000,0.319258
1437.000000,0.318336
1868.000000,0.318336
2299.000000,0.313826
2730.000000,0.312140
3161.000000,0.311346
3592.000000,0.303866
4023.000000,0.299702
4454.000000,0.299162
4885.000000,0.295198
5316.000000,0.294216
5747.000000,0.287357
6178.000000,0.287357
6609.000000,0.284485
7040.000000,0.283159
7471.000000,0.283159
7902.000000,0.279007
8333.000000,0.275787
8764.000000,0.275787
9195.000000,0.269100
9626.000000,0.268731
10057.000000,0.268731
10488.000000,0.266738
10919.000000,0.262312
11350.000000,0.262312
11781.000000,0.261275
12212.000000,0.260952
12643.000000,0.258856
13074.000000,0.258509
13505.000000,0.255674
13936.000000,0.253558
14367.000000,0.252363
14798.000000,0.246361
15229.000000,0.246361
15660.000000,0.246361
16091.000000,0.246361
16522.000000,0.246361
16953.000000,0.244299
17384.000000,0.244299
17815.000000,0.242548
18246.000000,0.241923
18677.000000,0.241379
19108.000000,0.240334
19539.000000,0.236171
19970.000000,0.236171
20401.000000,0.235555
20832.000000,0.232829
21263.000000,0.232829
21694.000000,0.232829
