n_evaluations,fitness_history
511.000000,0.546436
894.000000,0.543600
1277.000000,0.543600
1660.000000,0.540206
2043.000000,0.540206
2426.000000,0.539001
2809.000000,0.539001
3192.000000,0.539001
3575.000000,0.539001
3958.000000,0.537029
4341.000000,0.537029
4724.000000,0.537029
5107.000000,0.537029
5490.000000,0.535144
5873.000000,0.535144
6256.000000,0.535144
6639.000000,0.535144
7022.000000,0.535144
7405.000000,0.535095
7788.000000,0.535095
8171.000000,0.530377
8554.000000,0.530377
8937.000000,0.530377
9320.000000,0.530377
9703.000000,0.530377
10086.000000,0.530377
10469.000000,0.530377
10852.000000,0.530377
11235.000000,0.530377
11618.000000,0.530377
12001.000000,0.530377
12384.000000,0.529658
12767.000000,0.529658
13150.000000,0.529658
13533.000000,0.529658
13916.000000,0.529658
14299.000000,0.529658
14682.000000,0.529658
15065.000000,0.529658
15448.000000,0.529658
15831.000000,0.525594
16214.000000,0.525594
16597.000000,0.525594
16980.000000,0.525594
17363.000000,0.525594
17746.000000,0.525594
18129.000000,0.525594
18512.000000,0.525594
18895.000000,0.525594
19278.000000,0.525594
