n_evaluations,fitness_history
511.000000,0.260661
894.000000,0.259197
1277.000000,0.257659
1660.000000,0.250393
2043.000000,0.250393
2426.000000,0.250393
2809.000000,0.249761
3192.000000,0.243661
3575.000000,0.243661
3958.000000,0.240577
4341.000000,0.240577
4724.000000,0.240400
5107.000000,0.238700
5490.000000,0.236399
5873.000000,0.233403
6256.000000,0.233403
6639.000000,0.233403
7022.000000,0.232781
7405.000000,0.232435
7788.000000,0.231572
8171.000000,0.229860
8554.000000,0.227742
8937.000000,0.227742
9320.000000,0.226979
9703.000000,0.224481
10086.000000,0.223172
10469.000000,0.222366
10852.000000,0.219791
11235.000000,0.219791
11618.000000,0.219390
12001.000000,0.218698
12384.000000,0.218002
12767.000000,0.218002
13150.000000,0.216646
13533.000000,0.215369
13916.000000,0.214144
14299.000000,0.214144
14682.000000,0.212631
15065.000000,0.212631
15448.000000,0.212631
15831.000000,0.210824
16214.000000,0.209910
16597.000000,0.209910
16980.000000,0.209910
17363.000000,0.208801
17746.000000,0.208801
18129.000000,0.208801
18512.000000,0.208187
18895.000000,0.207878
19278.000000,0.207712
