n_evaluations,fitness_history
2047.000000,0.158184
3582.000000,0.156339
5117.000000,0.155166
6652.000000,0.151520
8187.000000,0.149073
9722.000000,0.148437
11257.000000,0.143352
12792.000000,0.141743
14327.000000,0.140543
15862.000000,0.137472
17397.000000,0.134420
18932.000000,0.132375
20467.000000,0.132073
22002.000000,0.128070
23537.000000,0.126349
25072.000000,0.122246
26607.000000,0.121867
28142.000000,0.121564
29677.000000,0.120577
31212.000000,0.117106
32747.000000,0.116674
34282.000000,0.112980
35817.000000,0.112980
37352.000000,0.112336
38887.000000,0.112336
40422.000000,0.110674
41957.000000,0.108837
43492.000000,0.104282
45027.000000,0.104282
46562.000000,0.104172
48097.000000,0.102893
49632.000000,0.100038
51167.000000,0.100038
52702.000000,0.100038
54237.000000,0.098138
55772.000000,0.095062
57307.000000,0.095062
58842.000000,0.095062
60377.000000,0.093342
61912.000000,0.092133
63447.000000,0.091926
64982.000000,0.087974
66517.000000,0.087974
68052.000000,0.086477
69587.000000,0.085093
71122.000000,0.083916
72657.000000,0.083392
74192.000000,0.083392
75727.000000,0.083392
77262.000000,0.082320
