n_evaluations,fitness_history
511.000000,0.424406
894.000000,0.415242
1277.000000,0.415242
1660.000000,0.408623
2043.000000,0.396516
2426.000000,0.386475
2809.000000,0.386475
3192.000000,0.383609
3575.000000,0.370161
3958.000000,0.370161
4341.000000,0.368039
4724.000000,0.368039
5107.000000,0.359964
5490.000000,0.358809
5873.000000,0.346739
6256.000000,0.345624
6639.000000,0.345624
7022.000000,0.336143
7405.000000,0.334408
7788.000000,0.334408
8171.000000,0.331691
8554.000000,0.320534
8937.000000,0.320534
9320.000000,0.307899
9703.000000,0.307899
10086.000000,0.307899
10469.000000,0.303128
10852.000000,0.301403
11235.000000,0.293546
11618.000000,0.293546
12001.000000,0.288483
12384.000000,0.288483
12767.000000,0.284329
13150.000000,0.280901
13533.000000,0.278080
13916.000000,0.278080
14299.000000,0.272697
14682.000000,0.272697
15065.000000,0.272697
15448.000000,0.267915
15831.000000,0.260794
16214.000000,0.260794
16597.000000,0.260794
16980.000000,0.249123
17363.000000,0.244608
17746.000000,0.244608
18129.000000,0.244608
18512.000000,0.244608
18895.000000,0.244608
19278.000000,0.239340
